rank,final_outer,final_objective,final_gap_to_direct_optimum,final_xy_rel_to_direct,best_objective_outer,best_objective,best_xy_outer,best_xy_rel_to_direct
r4,10,192143.13549731136,192035.21643673733,0.04689801810416248,0,107.91906057412336,0,0.0
r6,10,306.1484679352656,198.2294073612296,0.0031070317910750728,0,107.91906057412336,0,0.0
