outer,v4_phase,v4_obj,v4_xrel,v5_phase,v5_obj,v5_xrel
14,objective_low,113.9357736444624,0.0060351283082548,objective_low,113.9357736444624,0.0060351283082548
15,objective_low,108.53762756591658,0.0059327983363659,objective_low,108.53762756591658,0.0059327983363659
16,objective_low,108.53213078852876,0.0059411729725832,objective_low,108.53213078852876,0.0059411729725832
17,objective_low,108.51855929968124,0.0059323840552964,objective_low,108.51855929968124,0.0059323840552964
18,objective_low,108.48703854176372,0.0058163159029931,kick_gate,197.90581352676324,0.0005089685826466
19,objective_low,108.47439289674024,0.0057835256950079,objective_low,111.1762443436652,0.0171041568129684
20,objective_low,108.46591486473072,0.0057770946481515,objective_low,108.47424853920066,0.0163438193513122
