outer,formal_v1_obj,formal_v1_xrel,formal_v2_obj,formal_v2_xrel,regime_obj,regime_xrel,fixed_obj,fixed_xrel
0,3350168.410825497,1.2312708232912002,3350168.410825497,1.2312708232912002,2914639.230668818,1.2312708232912002,3350168.410825497,1.2312708232912002
1,38832389.48202884,0.4284144370601343,38832389.48202884,0.4284144370601343,2153368.7429367234,1.1531655859242331,647841097.9864175,0.5789266398385688
2,72659315.8244745,0.1390746138261819,72659315.8244745,0.1390746138261819,960463.4784003712,0.99720548337952,12284832.280059624,0.342306544698695
3,3963430.531891292,0.0343799762304201,3963430.531891292,0.0343799762304201,641478.3585488893,0.7742384572705955,197004.4323518444,0.2688289634500549
4,160115.26462707054,0.0205419504784994,160115.26462707054,0.0205419504784994,191318.41148944857,0.5262437489398188,2314.0867532301318,0.2113210353859057
5,2771074.3254755824,0.1210047599152236,2771074.3254755824,0.1210047599152236,135942.67703569724,0.4456401840329689,177.48700096648895,0.1559522045861859
6,238602.2272697789,0.0811384597337004,238602.2272697789,0.0811384597337004,45427.35079678283,0.4369054329355493,4615.7227920368005,0.1296074675406142
7,10810.101222772468,0.0677144322436421,10810.101222772468,0.0677144322436421,16529.260904754137,0.3968885680198501,52660.77927466069,0.0865935808373204
8,196905.7192689101,0.0610209327722259,196905.7192689101,0.0610209327722259,14653.187951984966,0.392164085610918,23665.642306161582,0.0971806176456843
9,195982.9438335086,0.031748317872416,195982.9438335086,0.031748317872416,7684.47678428368,0.3873199128383527,1702037.2063375807,0.0771104290105075
10,11833.084848942626,0.0140845390528669,11833.084848942626,0.0140845390528669,655.145216428347,0.3865340438342667,10767.869762732706,0.0868634168739088
11,540.8721653490666,0.0132916164721058,540.8721653490666,0.0132916164721058,579.8162514908582,0.3740245700817241,783.8981776540719,0.0390746853002365
12,317.6384475213946,0.0125206856500243,317.6384475213946,0.0125206856500243,555.2967824257535,0.3709239813103495,30281.25615450672,0.0310359046148754
13,237.57615895219425,0.0114794067629834,237.57615895219425,0.0114794067629834,542.4824999870311,0.3693127181966204,6250466919.573179,1.20470560087475
14,219.31328659010367,0.0133715416235658,219.31328659010367,0.0133715416235658,277.2841260294419,0.3682908869495056,439594404.1083849,1.425849301441323
15,214.62164512027536,0.0132781523883819,109.9509703180042,0.0133247210306545,269.4045163358555,0.3335823599951961,1042243355.4937444,0.9839576722227136
16,208.36310037806197,0.0134422944490689,109.74253592781014,0.0128399268998547,124.63466485902428,0.3294824611770339,16419236.249523206,0.0784150762584214
17,148.2410176631039,0.0135356637212161,109.6643323103186,0.0128855389009321,123.5694503377584,0.2955861343378666,83506.36891222626,0.0170339469523807
18,141.82709733390226,0.0117043314479054,109.20751182646762,0.0118915463379945,122.11347143123686,0.2939286542516569,137.41497805632824,0.0119551546408808
19,109.62461818050556,0.0126718940203082,108.60320994416269,0.0119490602146392,122.10661723572672,0.2935615113128774,109.57278813537108,0.0062513997540604
20,107.94230217527266,0.0118970286988517,108.57203712685182,0.0118568498594506,,0.293452940817913,587.6207939734431,0.0036237093205622
