outer_sample,k,cycle,cycle_start_linear_residual,pre_linear_residual,post_linear_residual,pre_residual_ratio_vs_cycle_start,post_residual_ratio_vs_cycle_start,outer_start_objective,cycle_start_objective,pre_objective,post_objective,post_objective_delta_vs_outer_start,post_objective_gap_to_direct_optimum,delta_z_norm,delta_e_norm,e_post_norm,e_rel_to_exact
1,50,1,83413264360.81335,58332646474.313,58332632761.4878,0.69932098835011,0.699320823953892,647841097.9864175,647841097.9864175,230641232.63634777,149765154.1099836,-498075943.87643397,149765046.190923,42.35264201920446,42.35264201920445,139.82686242736503,0.774878993180889
1,50,2,58332632761.4878,594377113.4867723,594376056.5725837,0.010189444318707148,0.010189426199960596,647841097.9864175,149765154.1099836,149232735.10802695,26441976.32641377,-621399121.6600038,26441868.407353196,20.385937117504767,20.385937117504767,165.74994605658452,0.6520073409320548
1,50,3,594376056.5725837,3366733556.5557675,3366734048.0250998,5.66431557820437,5.664316405070336,647841097.9864175,26441976.32641377,20970882.952989273,46407531.69995102,-601433566.2864665,46407423.78089045,42.871959993883735,42.871959993883735,170.3162092202389,0.592721402841333
1,50,4,3366734048.0250998,2767481003.392277,2767481278.3613667,0.822007608535536,0.8220076902078886,647841097.9864175,46407531.69995102,610144723.0437607,53701112.58933629,-594139985.3970813,53701004.67027572,51.850236574337266,51.85023657433727,180.16432073694722,0.5440045392396546
1,50,5,2767481278.3613667,4503173091.536663,4503173671.143302,1.6271738229076673,1.6271740323423771,647841097.9864175,53701112.58933629,327219807.9066405,92547265.65071103,-555293832.3357065,92547157.73165046,89.0088691639628,89.0088691639628,188.56414205500087,0.49418451015820986
1,100,1,83413264360.81335,4635934424.719653,4635933746.956409,0.055577904308676894,0.05557789618331159,647841097.9864175,647841097.9864175,372098.25097551174,463857.4385792915,-647377240.5478382,463749.5195187175,33.76977735522568,33.76977735522568,134.10387865025942,0.803565921954252
1,100,2,4635933746.956409,45647184.73280937,45647125.665857874,0.009846384185877922,0.009846371444765835,647841097.9864175,463857.4385792915,7837765.172677234,4340867.082753426,-643500230.9036641,4340759.1636928525,9.377013174329596,9.377013174329596,155.86999884182177,0.7005222142918768
1,100,3,45647125.665857874,260172689.36123517,260172749.26229197,5.699651085716299,5.699652397979797,647841097.9864175,4340867.082753426,866893.3074235505,12284832.280059624,-635556265.706358,12284724.36099905,20.635792114606886,20.635792114606886,159.99676706200353,0.6485408585774562
1,100,4,260172749.26229197,436199054.5513424,436199135.2299939,1.6765747211733937,1.6765750312698648,647841097.9864175,12284832.280059624,61851361.32523891,28969959.794638146,-618871138.1917794,28969851.875577573,13.778560500609963,13.778560500609963,170.63441236145383,0.5888999797638809
1,100,5,436199135.2299939,228317565.5512082,228317600.17485166,0.5234250760970071,0.5234251554727798,647841097.9864175,28969959.794638146,1758992.011146606,48205993.746245675,-599635104.2401719,48205885.8271851,28.500736020406272,28.500736020406272,177.32028378578354,0.549054808544547
1,150,1,83413264360.81335,906509506.7937833,906509022.6165166,0.010867690093898923,0.010867684289339295,647841097.9864175,647841097.9864175,3646532.7728646975,2094749.6935019998,-645746348.2929156,2094641.7744414257,30.46160164282433,30.46160164282433,132.16798808282752,0.8277970596902373
1,150,2,906509022.6165166,175197926.94034162,175197945.1275001,0.19326661132909226,0.19326663139194658,647841097.9864175,2094749.6935019998,28449295.48745959,392040.2141360576,-647449057.7722815,391932.29507548356,17.04827741668234,17.04827741668234,151.0867344719846,0.7302780707321228
1,150,3,175197945.1275001,150109216.8303168,150109245.5488215,0.8567978164417112,0.8567979803620396,647841097.9864175,392040.2141360576,61540193.49974478,5028309.335804853,-642812788.6506127,5028201.416744279,16.753143103323822,16.753143103323826,155.0324162359861,0.6798686220065381
1,150,4,150109245.5488215,218662371.74744597,218662407.06478637,1.4566882336126874,1.45668846889027,647841097.9864175,5028309.335804853,39035110.1298247,17904741.892534677,-629936356.0938828,17904633.973474104,27.865382798005317,27.865382798005317,166.6584403953593,0.6114085233260484
1,150,5,218662407.06478637,215394546.14866215,215394597.15440878,0.9850552229805282,0.9850554562430597,647841097.9864175,17904741.892534677,368300166.44561446,39176670.92767594,-608664427.0587416,39176563.00861537,32.79460810837499,32.79460810837499,172.06678957406714,0.5750918104635365
1,200,1,83413264360.81335,636459314.9038738,636458991.0701706,0.0076301931087458495,0.007630189226465188,647841097.9864175,647841097.9864175,8967222.6798808,8761848.210283305,-639079249.7761343,8761740.29122273,30.648449558606096,30.648449558606092,131.85120020778106,0.8445329772001514
1,200,2,636458991.0701706,283974892.4114328,283974935.4985608,0.4461794025942578,0.4461794702924577,647841097.9864175,8761848.210283305,122701573.78721517,1121139.4022322749,-646719958.5841852,1121031.4831717007,28.85967556015567,28.859675560155676,148.7414854645716,0.747357476060678
1,200,3,283974935.4985608,230559370.21826828,230559420.4150713,0.811900422878824,0.811900599643731,647841097.9864175,1121139.4022322749,187390655.7639068,2914655.197571841,-644926442.7888457,2914547.278511267,30.708054058310328,30.70805405831033,152.55631606126855,0.6960678636499205
1,200,4,230559420.4150713,178460883.94184685,178460904.0927399,0.7740342321322956,0.7740343195322944,647841097.9864175,2914655.197571841,259129333.25627092,13088539.737559857,-634752558.2488576,13088431.818499282,53.958599822881595,53.95859982288159,165.00200579358054,0.6226382030487988
1,200,5,178460904.0927399,291726127.34579426,291726198.1308843,1.6346780760126283,1.6346784726546288,647841097.9864175,13088539.737559857,1033546259.0948598,37084824.20499723,-610756273.7814204,37084716.28593665,68.62627258427321,68.62627258427322,169.60570576564683,0.586187364890123
2,50,1,11301902872.396194,55073985118.05979,55073974859.2311,4.872983402872155,4.872982495164063,12284832.280059624,12284832.280059624,291263445.2715753,289106171.9458448,276821339.6657852,289106064.02678424,9.633288558299563,9.633288558299565,27.297321000207585,0.9390963900884801
2,50,2,55073974859.2311,1675964521.0220363,1675964941.7147968,0.030431152378338336,0.030431160017023607,12284832.280059624,289106171.9458448,769289.5744690562,676905.0997911182,-11607927.180268506,676797.1807305441,6.089530165945492,6.089530165945493,25.59202676675012,0.860336913113429
2,50,3,1675964941.7147968,402290131.059642,402290214.89182794,0.24003493214364668,0.24003498216389701,12284832.280059624,676905.0997911182,132672.0853585073,391303.7774334431,-11893528.50262618,391195.8583728691,15.595500047213564,15.595500047213564,38.49089785235072,0.7864695300487134
2,50,4,402290214.89182794,625382385.6834962,625382511.1485528,1.5545552999633752,1.5545556118403532,12284832.280059624,391303.7774334431,492892.3845657422,197233.32304497258,-12087598.957014652,197125.40398439855,16.958286645911695,16.958286645911695,48.15887545314658,0.732213695821103
2,50,5,625382511.1485528,877577600.968285,877577782.315574,1.4032653381313154,1.403265628109506,12284832.280059624,197233.32304497258,297086.3450154767,1147511.4817800971,-11137320.798279528,1147403.562719523,33.0226276016064,33.0226276016064,61.183295955115334,0.6593333661717174
2,100,1,11301902872.396194,971235667.4337052,971235515.1021546,0.08593558787395479,0.0859355743955563,12284832.280059624,12284832.280059624,82644.03986743711,25189.14128030979,-12259643.138779314,25081.22221973575,7.863641832103929,7.86364183210393,11.256761950256426,0.9406347153444965
2,100,2,971235515.1021546,133842802.03587916,133842827.42636165,0.13780674198451398,0.1378067681269708,12284832.280059624,25189.14128030979,85165.6082385403,74795.23654659846,-12210037.043513026,74687.31748602443,5.86088654397146,5.86088654397146,24.68588532174455,0.8642267578556193
2,100,3,133842827.42636165,163134333.83466107,163134357.5104879,1.218850027091778,1.2188502039845357,12284832.280059624,74795.23654659846,58326.97220139338,197004.43235184439,-12087827.84770778,196896.51329127036,11.142583732850417,11.142583732850417,38.58072926775912,0.7858203242941972
2,100,4,163134357.5104879,175742215.47928768,175742255.98441175,1.0772851173793307,1.0772853656723616,12284832.280059624,197004.43235184439,561706.013646871,369138.3150748708,-11915693.964984754,369030.3960142968,10.431307631872489,10.431307631872489,49.003469859242315,0.7274281861835429
2,100,5,175742255.98441175,48799464.660135835,48799465.08563315,0.27767632995711816,0.27767633237826217,12284832.280059624,369138.3150748708,176604.58884730347,607802.6614857697,-11677029.618573856,607694.7424251956,21.04392570938986,21.043925709389857,61.5863014802812,0.6570192945071445
2,150,1,11301902872.396194,419323490.2235106,419323528.28295195,0.03710202564628897,0.03710202901381405,12284832.280059624,12284832.280059624,17197.418463817638,356.22561157958,-12284476.054448046,248.30655100554398,7.679410036722839,7.679410036722837,11.283157556833409,0.9407112252072453
2,150,2,419323528.28295195,145709297.0171811,145709327.3346943,0.34748657585190185,0.3474866481529085,12284832.280059624,356.22561157958,76724.78033955506,74236.44010252635,-12210595.839957098,74128.52104195232,5.716698291453386,5.716698291453386,25.012021639311804,0.8623561488714555
2,150,3,145709327.3346943,167710685.339932,167710714.3322332,1.1509948498677822,1.1509950488413259,12284832.280059624,74236.44010252635,69227.38251633442,201450.239999628,-12083382.040059997,201342.32093905396,10.235345526779009,10.23534552677901,39.01760119758165,0.7833908960548424
2,150,4,167710714.3322332,133562434.30031048,133562466.212098,0.7963858172813257,0.7963860075600903,12284832.280059624,201450.239999628,554180.1675134274,404207.5816651468,-11880624.698394477,404099.6626045728,8.751247855462962,8.75124785546296,49.97518393415357,0.7219702070580185
2,150,5,133562466.212098,123391907.19042082,123391923.96368429,0.9238516679863767,0.9238517935700377,12284832.280059624,404207.5816651468,212865.17127187032,592635.0946598292,-11692197.185399795,592527.1755992551,18.00280411349928,18.002804113499284,62.38953149417176,0.6525324718785254
2,200,1,11301902872.396194,323976028.846451,323976068.3504206,0.028665617861371923,0.028665621356709838,12284832.280059624,12284832.280059624,11816.455157545153,1061.0911114321534,-12283771.188948192,953.1720508581174,7.613520245872212,7.6135202458722135,11.417631417673825,0.9401123241706623
2,200,2,323976068.3504206,148934809.11670443,148934839.94075733,0.4597092923407319,0.4597093874837252,12284832.280059624,1061.0911114321534,74049.18410546755,76796.07372304771,-12208036.206336576,76688.15466247368,5.602447580735565,5.602447580735565,25.468607266047297,0.8597542814130674
2,200,3,148934839.94075733,162004451.8813961,162004480.85794654,1.0877538925468182,1.0877540871053946,12284832.280059624,76796.07372304771,81491.22104437629,211441.91409005664,-12073390.365969568,211333.9950294826,9.67190406624713,9.671904066247132,39.62168277262986,0.7800104465073535
2,200,4,162004480.85794654,127174037.30952144,127174066.37680575,0.7850032087756502,0.7850033881983683,12284832.280059624,211441.91409005664,545691.8039071349,425302.3407041213,-11859529.939355504,425194.42164354725,7.656686924410062,7.65668692441006,51.00860581192682,0.7161747001296763
2,200,5,127174066.37680575,136962664.11564034,136962683.81926358,1.0769700774514186,1.076970232385705,12284832.280059624,425302.3407041213,256344.8774168758,610750.9846396383,-11674081.295419985,610643.0655790643,16.07555531230267,16.07555531230267,63.353823007967506,0.6471415704167421
3,50,1,1449777845.0448158,11102678126.087599,11102675163.060247,7.658192711411169,7.658190667630902,197004.43235184439,197004.43235184439,15184344.903430555,15598728.462141953,15401724.029790109,15598620.543081379,5.432517294745459,5.432517294745459,5.307518849566765,0.9663019348823167
3,50,2,11102675163.060247,399444136.9872918,399444257.6839048,0.03597728755645161,0.03597729842740039,197004.43235184439,15598728.462141953,15469.052545654626,15638.51054875018,-181365.9218030942,15530.591488176144,6.159595188693566,6.159595188693566,17.475758682131662,0.875949211867547
3,50,3,399444257.6839048,353592392.45721745,353592433.4166373,0.8852108539685863,0.8852109565096019,197004.43235184439,15638.51054875018,12926.831063484644,13088.506680250404,-183915.92567159398,12980.587619676367,4.1708356392205355,4.1708356392205355,29.19891441200496,0.7918585349573387
3,50,4,353592433.4166373,70033330.47633348,70033323.39691173,0.1980622995792824,0.19806227955786485,197004.43235184439,13088.506680250404,543.6285458344762,500.9265726084083,-196503.50577923597,393.0075120343723,5.503524937740135,5.503524937740135,39.040335777726206,0.7217735888665455
3,50,5,70033323.39691173,368313560.2226168,368313593.78003925,5.259118693185684,5.259119172349329,197004.43235184439,500.9265726084083,15635.827065779513,15963.62540118644,-181040.80695065795,15855.706340612403,4.015803197517442,4.015803197517442,49.09585794846606,0.6499505142761367
3,100,1,1449777845.0448158,667359900.3281292,667359950.7501069,0.46031873270038803,0.46031876747949435,197004.43235184439,197004.43235184439,41388.41431983854,40729.03597573137,-156275.396376113,40621.116915157334,5.385120807416323,5.385120807416323,5.441698352118304,0.9628900986394113
3,100,2,667359950.7501069,150547268.4208476,150547295.93003142,0.22558630953450795,0.22558635075541697,197004.43235184439,40729.03597573137,1912.0441833664208,1832.1751073403248,-195172.25724450406,1724.2560467662888,5.446595035000028,5.446595035000027,18.170235049740338,0.8707657972556913
3,100,3,150547295.93003142,160729305.32350996,160729334.29585052,1.067633293116143,1.0676334855629113,197004.43235184439,1832.1751073403248,2357.8942849933787,2314.0867532301313,-194690.34559861425,2206.1676926560954,4.427647388949349,4.4276473889493495,30.112067085736367,0.7853949996150427
3,100,4,160729334.29585052,100536773.76229683,100536791.50067,0.6255035784397718,0.6255036888015377,197004.43235184439,2314.0867532301313,916.4940626035618,860.4377002980647,-196143.99465154632,752.5186397240286,4.45790167056562,4.45790167056562,40.46747008177133,0.7115595029743544
3,100,5,100536791.50067,134771920.40269247,134771943.22563156,1.3405233884134278,1.3405236154242441,197004.43235184439,860.4377002980647,2147.307670569491,2070.6057430096284,-194933.82660883476,1962.6866824355925,4.006744223171324,4.006744223171325,50.376272226900085,0.640840861064471
3,150,1,1449777845.0448158,236104640.53089574,236104680.28634092,0.16285573775173617,0.16285576517348588,197004.43235184439,197004.43235184439,5263.013591083858,4946.629330616367,-192057.80302122803,4838.710270042331,5.686803640195929,5.68680364019593,5.8202698411699405,0.9599429657818161
3,150,2,236104680.28634092,152889562.6180426,152889590.60009202,0.647549902156207,0.6475500206716442,197004.43235184439,4946.629330616367,1940.8794469029885,1859.5963346430622,-195144.83601720133,1751.6772740690262,5.1649915037514535,5.164991503751454,18.860034285778482,0.8658097885904196
3,150,3,152889590.60009202,142016828.3734625,142016853.51829,0.9288848757855005,0.9288850402494605,197004.43235184439,1859.5963346430622,1776.4078262153434,1708.2968270905906,-195296.1355247538,1600.3777665165546,4.899506579012106,4.8995065790121055,31.00286250624646,0.7790476991866118
3,150,4,142016853.51829,111854914.1117895,111854935.40053315,0.7876171830365469,0.7876173329394854,197004.43235184439,1708.2968270905906,1034.078984748144,986.5699394920974,-196017.8624123523,878.6508789180614,3.945247678064355,3.945247678064355,41.57816055529543,0.7036280813280074
3,150,5,111854935.40053315,116795635.81852497,116795655.14230074,1.04417060722712,1.044170779984591,197004.43235184439,986.5699394920974,1660.3226338199172,1529.939689970365,-195474.492661874,1422.020629396329,4.883985578488006,4.883985578488006,51.571815220955806,0.6323212087810117
3,200,1,1449777845.0448158,179218016.90908003,179218047.44376358,0.12361757183807703,0.12361759289970635,197004.43235184439,197004.43235184439,3061.321578163279,2825.303697107633,-194179.12865473676,2717.384636533597,5.918794404236189,5.9187944042361895,6.144209714726802,0.957490900269763
3,200,2,179218047.44376358,146426805.36490473,146426831.8702686,0.8170315850073729,0.817031732901875,197004.43235184439,2825.303697107633,1748.8516127778194,1666.9350439130817,-195337.4973079313,1559.0159833390458,5.010089528464056,5.010089528464055,19.48045945125884,0.8613645271521493
3,200,3,146426831.8702686,134068470.90774304,134068494.10766533,0.915600434669823,0.915600593110199,197004.43235184439,1666.9350439130817,1548.6756549105446,1468.6542587642148,-195535.77809308018,1360.7351981901788,5.212616960652101,5.2126169606521,31.79798811226322,0.7733795525872715
3,200,4,134068494.10766533,106859257.05276407,106859278.21525206,0.7970497301696359,0.7970498880179665,197004.43235184439,1468.6542587642148,908.7789599180129,861.677596906524,-196142.75475493787,753.7585363324879,3.687863680991362,3.6878636809913625,42.56095739188732,0.6966156331435734
3,200,5,106859278.21525206,108943981.12680924,108943998.78797135,1.0195088619947241,1.0195090272696765,197004.43235184439,861.677596906524,1488.2485641741696,1333.8495822237653,-195670.5827696206,1225.9305216497294,5.41899833468069,5.41899833468069,52.62450339038431,0.6248173417457177
4,50,1,154263170.3888043,72639824.68920854,72641478.2519082,0.4708824828773285,0.47089320197959694,2314.0867532301313,2314.0867532301313,749770.7655994,662600.2990204997,660286.2122672696,662492.3799599257,6.393389055321548,6.393389055321548,7.919393496508819,0.9358715753632543
4,50,2,72641478.2519082,718025635.6642656,718025576.8322616,9.884512993723446,9.884512183827976,2314.0867532301313,662600.2990204997,51756.839014262136,53177.409017418824,50863.32226418869,53069.48995684479,3.074897465778869,3.074897465778869,18.583639134456007,0.8312696611092065
4,50,3,718025576.8322616,83029868.3105681,83029872.73806734,0.11563636587553587,0.11563637204174972,2314.0867532301313,53177.409017418824,560.6174602391177,502.51685022466864,-1811.5699030054627,394.59778965063265,6.185582285273536,6.185582285273537,28.174952397016572,0.744123973259101
4,50,4,83029872.73806734,342938426.03552634,342938476.13169736,4.13030171824287,4.1303023215940415,2314.0867532301313,502.51685022466864,14025.408155591876,14666.011522096245,12351.924768866114,14558.092461522208,3.389266200113564,3.389266200113565,36.64817288776465,0.6670918664428066
4,50,5,342938476.13169736,255972596.09177873,255972633.11219615,0.7464096737674851,0.7464097817180944,2314.0867532301313,14666.011522096245,4486.215364501745,4262.267444190715,1948.1806909605834,4154.348383616679,9.21027601629474,9.21027601629474,44.74356869342608,0.5936048638058091
4,100,1,154263170.3888043,842084111.5317714,842084068.079026,5.4587501955871,5.458749913907776,2314.0867532301313,2314.0867532301313,65989.81938060261,65764.20189664916,63450.115143419025,65656.28283607513,6.851953874029248,6.851953874029248,7.867992698098128,0.9296043533957984
4,100,2,842084068.079026,149687944.7555899,149687977.27466634,0.17775890843898776,0.17775894705636297,2314.0867532301313,65764.20189664916,2210.3271695665,2291.8939423397787,-22.192810890352575,2183.974881765743,3.1293097388684528,3.129309738868453,18.880748482584195,0.8285086230093293
4,100,3,149687977.27466634,11577299.302185375,11577299.001951838,0.07734288025645433,0.0773428782507252,2314.0867532301313,2291.8939423397787,199.99297829884995,177.48700096648895,-2136.5997522636426,69.56794039245293,8.473557661816605,8.473557661816605,28.869860455166187,0.7378241121248241
4,100,4,11577299.001951838,191399854.19631183,191399892.03263357,16.53234093410245,16.532344202250034,2314.0867532301313,177.48700096648895,3908.2771875464587,4258.202312368086,1944.1155591379543,4150.28325179405,6.24767443590445,6.247674435904449,37.50648086585887,0.6592957143003483
4,100,5,191399892.03263357,76617936.1932481,76617953.01989143,0.4003029227424265,0.4003030106559731,2314.0867532301313,4258.202312368086,321.80724056725995,182.4668003498423,-2131.619952880289,74.54773977580626,14.130453208069445,14.130453208069444,45.8338018947896,0.58371927407063
4,150,1,154263170.3888043,104173781.567303,104173798.7284816,0.6752991093385661,0.6752992205846825,2314.0867532301313,2314.0867532301313,1043.434159793292,921.4016666925038,-1392.6850865376275,813.4826061184677,7.12340292156655,7.123402921566549,8.199980426313642,0.9266008250634823
4,150,2,104173798.7284816,126254908.34935609,126254934.0917509,1.2119641396434688,1.21196438675354,2314.0867532301313,921.4016666925038,1578.228752053178,1630.711649143531,-683.3751040866002,1522.7925885694951,3.212191893393139,3.2121918933931393,19.48840967023893,0.822998624056048
4,150,3,126254934.0917509,40234313.65785698,40234324.720504716,0.318675178497327,0.3186752661188352,2314.0867532301313,1630.711649143531,430.65886352218087,414.4599033321641,-1899.626849897967,306.54084275812806,8.784743463443919,8.784743463443919,29.596225804499362,0.731223440973219
4,150,4,40234324.720504716,122974342.69134797,122974368.89498442,3.0564535019690853,3.0564541532447467,2314.0867532301313,414.4599033321641,1630.503027764659,1810.7603339968946,-503.3264192332367,1702.8412734228586,6.402825645019674,6.402825645019675,38.450132397584426,0.6507292122345766
