cycle,relative_state_error,algebraic_residual,energy_gap,factor_objective
0,0.03499792225302882,207.4875331380065,5247.724867651079,5603.3530781053805
1,0.01625077254647449,18.76819705465232,165.68516776653385,521.3133795407206
2,0.009093991070694599,13.2733507425315,52.85136691024272,408.47957913135696
3,0.005181954532124597,12.173085860636679,26.548423190325142,382.17663566440984
4,0.0030705356457274378,11.848508112356994,18.504941276490207,374.1331538887215
5,0.0018875252075085515,11.748535853890136,15.854526694225948,371.482739385334
6,0.0012115807103025883,11.718437968944523,14.959658384887964,370.5878711229191
7,0.0008333225081023102,11.710316139332408,14.660402702424932,370.2886154692928
8,0.0006389662092213438,11.70888376071623,14.565886027701296,370.1940988127631
9,0.0005544376125161985,11.70925562389497,14.54078059768527,370.16899339448076
10,0.0005267178377036666,11.709938147759406,14.537896666776366,370.1661094712899
11,0.0005233357445117167,11.710524210621832,14.541022400585515,370.1692352102722
12,0.0005284808784689878,11.710949704117603,14.544891657462435,370.1731044706822
13,0.0005356564233761909,11.711236908701414,14.548036815095426,370.1762496307767
14,0.0005425307975300297,11.711422956683863,14.550243331719168,370.178456149151
15,0.0005484332850695889,11.71154388685077,14.551669641892502,370.17988246059605
16,0.0005533013521927334,11.711617973817752,14.552519660422316,370.1807324800709
17,0.0005572666416887837,11.711665330222806,14.552979834596345,370.18119265496375
18,0.0005604987439922155,11.711693579671474,14.553181654138161,370.18139447506474
19,0.000563151445895389,11.71171462023094,14.553231150189191,370.1814439715595
20,0.0005653489162970589,11.711722654157274,14.553173030858375,370.18138585258754
