outer,carry_message_eta,carry_message_lam,carry_coarse_state,settle_sweeps,coarse_settle_sweeps,freeze_basis_from_outer0,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,xy_rel_to_direct,inner_cycles,pre_sweeps,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim
0,False,False,False,0,0,False,602585.0441299444,87.92730695372335,100.07173463021118,0.3696037132425942,0.3113167694933635,,,,,,,,,,,
1,False,False,False,0,0,False,11314.425274919166,53.315473099103926,63.66228945206044,0.23913625929320606,0.22563621648410867,1,50,1491.084946593928,2874.4924961620245,0.7256192158481003,6.462553397134563e-11,1259.0374130124744,79.78580341367136,-73021.76555445808,25,100
2,False,False,False,0,0,False,1110.3795560691321,47.47943114698238,62.54821530717442,0.2965418760174263,0.17229406303878506,1,50,755.2147690681143,1973.1553312852348,0.8133721432741147,3.094342651458144e-11,266.90185124859255,65.96119267773791,-1622.3534060300929,25,100
3,False,False,False,0,0,False,797.7544013884361,60.277195638756425,82.92352578038692,0.3748691802209063,0.1785353013487736,1,50,642.3029167592011,1573.5062153348122,1.0623641776628225,2.5496187833747827e-11,224.59722390309796,65.67439279668181,31.515335015328446,25,100
4,False,False,False,0,0,False,764.6270663691993,74.16450200367657,101.78297885040944,0.4417303352688626,0.20568036447889282,1,50,498.57515777014595,1617.114319758147,1.128556347201295,2.0397116637982235e-11,225.5726939118603,66.37262587493714,91.49549226665386,25,100
5,False,False,False,0,0,False,747.1341992404441,85.16715686652537,115.4979453165708,0.49129070388513485,0.2313122310085316,1,50,348.6699336517283,1806.722330279544,1.1040649606681576,2.296596933625823e-11,223.529624998194,68.1396335568497,110.72817629066287,25,100
6,False,False,False,0,0,False,736.1177301736717,93.08406261344302,124.7640737981039,0.5253008653670465,0.24995349303439282,1,50,236.68258323051208,1988.4930802367146,1.0675946615233223,2.2046709796851022e-11,222.9187656246479,69.52860210668332,112.61895012744924,25,100
7,False,False,False,0,0,False,728.1349160954169,98.34537839742532,130.5286902919344,0.5465544532484629,0.261369922275812,1,50,154.71929591164138,2121.3130859080934,1.0373795153536363,2.0509024709247396e-11,222.61658053561578,70.09124386193787,108.72241874763495,25,100
8,False,False,False,0,0,False,721.7877006992288,101.49784985329676,133.6366312628955,0.5577666371602884,0.2667097671796687,1,50,98.05193867457996,2200.6867584141282,1.0148088649108384,2.3252490384715027e-11,222.29940031146293,69.80047183508269,103.40645813159131,25,100
9,False,False,False,0,0,False,716.4443709291442,103.04113130958604,134.77232783180645,0.561327209822255,0.2673159542391598,1,50,65.3982168268236,2234.1713886427833,0.9982122646046864,2.297597071706825e-11,221.93415142117308,68.79583989637797,98.33211820031056,25,100
10,False,False,False,0,0,False,711.7992897732134,103.39636913095268,134.47859612591375,0.5592524571453266,0.26440660390790927,1,50,56.174524871130885,2231.4359337121155,0.9860028504001803,2.355526507565842e-11,221.53808921720602,67.2497317977731,94.04796404373621,25,100
11,False,False,False,0,0,False,707.6890165494304,102.88833118632157,133.16146101373224,0.5531181157491835,0.25895533334545323,1,50,61.01243149786268,2201.747943220844,0.9768856850249473,2.281679712406931e-11,221.13138656830432,65.30220446683089,90.63370527336588,25,100
12,False,False,False,0,0,False,704.0178912229331,101.77167698961512,131.13267577133914,0.5441652647749649,0.25173519162907887,1,50,68.98880360662949,2152.5963292114193,0.9700409356073473,2.058217585938147e-11,220.7296881441255,63.08306538089684,87.99471251978912,25,100
13,False,False,False,0,0,False,700.7237587115565,100.23754136630895,128.62391999419583,0.533330951663652,0.24333324561450015,1,50,75.64245179780129,2089.9353035461286,0.9648500239613106,2.021008230040207e-11,220.3432629297788,60.699881764882164,85.9862919364557,25,100
14,False,False,False,0,0,False,697.7622931279158,98.43458896848821,125.81390456203539,0.5213384637250827,0.23420574353960755,1,50,79.9995108502594,2018.2316734276646,0.9609365070740251,2.2879511853717043e-11,219.97848449199017,58.30196385986268,84.46873137604143,25,100
15,False,False,False,0,0,False,695.0990348530031,96.46120969544324,122.82157123680558,0.5086771028480733,0.22466251464807627,1,50,82.41030847278367,1941.2089806052015,0.9578817266082953,1.9537020870968232e-11,219.63908646125626,55.88698100752394,83.31666721958584,25,100
16,False,False,False,0,0,False,692.7055790774133,94.3973943529852,119.74293757209183,0.49573383836761586,0.2149511726191026,1,50,83.13154690755344,1861.2119329011134,0.9555482767012532,1.773042029591139e-11,219.32674216977904,53.43601541825682,82.44244875213371,25,100
17,False,False,False,0,0,False,690.556965836528,92.30266523861977,116.64943748192967,0.48279262072160234,0.20525550126230413,1,50,82.53891324740543,1780.098683698994,0.9537843130989013,1.7865156701230794e-11,219.0417905296459,50.988723305944376,81.77591032558314,25,100
18,False,False,False,0,0,False,688.6311377896062,90.21270771904898,113.58451227896161,0.47002884751174645,0.19568961092832046,1,50,81.1057311651704,1699.3871205041346,0.9523898055293978,1.6180769767193446e-11,218.78396620037321,48.574483152575475,81.26182197009132,25,100
19,False,False,False,0,0,False,686.9077035402893,88.15835547523807,110.5852188789582,0.4575850771194187,0.18634802945339451,1,50,78.97751460054012,1619.9183152018832,0.9513448493129955,1.7239381778450855e-11,218.55195674291093,46.215694500077454,80.86553139102239,25,100
20,False,False,False,0,0,False,685.3682877958802,86.15669782395321,107.67238986605408,0.44554235689519656,0.1772849454570373,1,50,76.44988563813763,1542.4695253371233,0.9505262943657827,1.4652591837993132e-11,218.344542657671,43.926911338066894,80.55814111478082,25,100
