outer,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,linear_step_norm,linear_residual_norm
0,602585.0441299444,87.92730695372335,100.07173463021118,0.3696037132425942,,
1,84336.1907929816,44.61555674772324,46.910361401067064,0.21826304738278304,2874.4924959512828,6.298940042082192e-11
2,801.0644036306571,48.7660592553996,54.20554270832044,0.2391801437246549,752.2318713336434,9.202471508284871e-12
3,592.8567902704344,48.74184274524597,53.780782200291824,0.23952917898701911,51.29729638474932,4.854270512167738e-13
4,592.8366144322024,48.68980164935433,53.6999761994378,0.23945031505767067,3.462197314808494,1.3362616540270713e-14
5,592.8366092009369,48.689464361330856,53.699325793712354,0.23944706657767564,0.04043075454512154,3.325856511971942e-16
6,592.8366091980072,48.68875559792323,53.698509193397584,0.23944488427191987,0.019566106044710548,2.7957087201771067e-16
7,592.8366091982144,48.690207415125634,53.700169141805354,0.23944942102505,0.039645230984682825,5.774043747052077e-16
8,592.8366091982971,48.69049901064834,53.7005146580625,0.239450352692661,0.008518090282958024,1.0207368042042245e-16
9,592.836609198357,48.69064187682167,53.7006825495636,0.23945093500528042,0.004171802879986556,5.298871388041876e-17
10,592.8366091980176,48.688713721063465,53.698452096300365,0.23944471033819825,0.05358765255014835,6.425184510992036e-16
11,592.8366091982662,48.69045158513966,53.70046151970484,0.23945034669331075,0.048170137692248594,6.317113055428624e-16
12,592.8366091981753,48.68775541449088,53.6973586871318,0.23944181581987628,0.07426054872734354,1.1150774845314776e-15
13,592.8366091981427,48.690033167223305,53.699992114116505,0.23944907465607784,0.06321645154526201,8.36980547303802e-16
14,592.8366091982169,48.69020636874417,53.70019609705263,0.23944976795326212,0.005064425685487741,6.572980099351617e-17
15,592.8366091981256,48.68799146656385,53.69762227971599,0.2394424039611956,0.06193152351884363,9.770642205635928e-16
16,592.8366091982135,48.690306327644855,53.70029706877221,0.23944990977864541,0.06408821154641986,7.810554003791209e-16
17,592.8366091980266,48.689022132767136,53.69880834198056,0.23944557766384722,0.0357276951889812,4.93857829524848e-16
18,592.8366091983781,48.6872410457416,53.696761172738704,0.23943996764299114,0.04897620395582163,6.014149127096471e-16
19,592.8366091983968,48.690769333598894,53.7008243728928,0.23945133953643954,0.09717999873028765,1.3896673523836513e-15
20,592.8366091994278,48.68559423009913,53.694885480017966,0.23943513391373517,0.14209109918916954,1.979806866619576e-15
