target,cycle,k_used,pre_residual_ratio,last_message_lam_delta_max,last_message_eta_delta_max,last_x_step_norm,pre_end_relative_state_error,pre_end_algebraic_residual,relative_state_error,algebraic_residual
0.5,0,0,1.0,0.0,0.0,0.0,0.03499792225302882,207.4875331380065,0.03499792225302882,207.4875331380065
0.5,1,1,0.40553406769065303,100000000.0,2.233578153381158,41.88180852215319,0.0344242266655528,84.14326330855495,0.01976058786878291,98.29954286824372
0.5,2,3,0.4544687181531492,0.33333233197933454,7.138666867165419,26.96509884796274,0.015978475352568605,44.674067242371265,0.008767348950704246,43.971908868278305
0.5,3,8,0.45255072030611354,0.22625460115515517,89.24153338522267,14.367699972742209,0.011808288467505085,19.89951903157413,0.005790086550927115,19.994274655519
0.5,4,17,0.4690101234305188,0.022766299606050033,11.722876861203439,8.11697354458836,0.01144921118218227,9.37751722408866,0.0029361937516778204,9.392542337428022
0.5,5,13,0.49971439336533063,0.01636636199131003,13.196146455702177,5.264728556029728,0.002670717601773263,4.693588596306029,0.001584579686127675,4.661492043757581
0.5,6,22,0.48587446265595297,0.0009662265429093431,0.7436892935060087,1.9648777141133809,0.003242407677659026,2.2648999419357145,0.0015686062334045777,2.315750956358984
0.5,7,34,0.46044816409194506,6.708168420743732e-07,0.07272392452676968,0.9040283396485925,0.003670411101053859,1.0662832763496601,0.0004801228427356992,1.0997880594746177
0.5,8,45,0.41872826556112297,5.3123949683708815e-11,0.035635927071581364,0.4945324542827862,0.003259571615767483,0.4605123466286398,0.00048363721244137014,0.5299864699988718
0.5,9,50,0.46556221128839137,1.6653345369377348e-15,0.02303211205747857,0.32493039150732805,0.002689144672082718,0.24674167292560342,0.0003453645031045711,0.32017730806469075
0.5,10,56,0.4646292139183688,2.220446049250313e-16,0.015380979805968309,0.22306663813080108,0.0020639692927021487,0.14876373096059667,0.0002849385003177729,0.23145092740656667
0.5,11,56,0.49199584987616735,2.220446049250313e-16,0.011801809629730542,0.16817492034063544,0.00158684003609874,0.11387289573402089,0.00021135141239898045,0.17574726684690484
0.5,12,56,0.4926003955501788,2.220446049250313e-16,0.008959742680360705,0.12781454007366022,0.001210657750162216,0.08657317316564815,0.00016051905136780156,0.13391388995042197
0.5,13,56,0.4923804335093957,2.220446049250313e-16,0.006821920155630323,0.09732412100747267,0.0009228200902624921,0.06593657918671827,0.00012213449748923132,0.10201499798131695
0.5,14,56,0.4923734116827004,2.220446049250313e-16,0.005196263289917624,0.07413374881059694,0.000703204049537179,0.05022947259886482,9.303395489625551e-05,0.07772537071237041
0.5,15,56,0.4923934926395592,2.220446049250313e-16,0.0039592366522356315,0.05648589637990978,0.0005357797259589261,0.038271466751768575,7.087043605935038e-05,0.05921940204831173
0.5,16,56,0.49235383946629246,2.220446049250313e-16,0.0030161766861738215,0.043031373923388565,0.0004082374816109622,0.029156899969384302,5.40025889333522e-05,0.04511995751605655
0.5,17,56,0.4924039750594234,2.220446049250313e-16,0.002298416458529573,0.03279130274777635,0.00031102470286066184,0.02221724643541855,4.1138065254604805e-05,0.034377348529876846
0.5,18,56,0.49233741583562424,2.220446049250313e-16,0.0017508229727241087,0.024978742120661084,0.00023699056692527053,0.016925254938480162,3.1350389736727215e-05,0.026192569545873443
0.5,19,56,0.49242458738781286,2.220446049250313e-16,0.001334337909270289,0.019036906685816573,0.0001805489353008589,0.012897865251253323,2.3879351055055508e-05,0.019956363124859693
0.5,20,56,0.4923101213962709,2.220446049250313e-16,0.0010162821066614924,0.014499129863933138,0.00013757938680275883,0.00982471955262774,1.8200826679001504e-05,0.015205053421247474
0.5,21,56,0.4924603413445647,2.220446049250313e-16,0.0007746829563757274,0.011052371438769179,0.00010480635055223049,0.007487885797989872,1.3860555212216057e-05,0.011584845413816415
0.5,22,56,0.4922631744502089,2.220446049250313e-16,0.0005898744702790282,0.008415619191798266,7.987020965863875e-05,0.005702792778920212,1.056739021161933e-05,0.008826695314955425
0.5,23,56,0.4925219506501447,2.220446049250313e-16,0.00044979795643484977,0.006417273004260784,6.083704508548056e-05,0.004347341194316339,8.044550339826526e-06,0.006725099074451363
0.5,24,56,0.49218230675487384,2.220446049250313e-16,0.00034234075280892284,0.004884082988134811,4.6369475951526254e-05,0.003309974775618539,6.136107572229834e-06,0.00512399722824939
0.5,25,56,0.4926280798941146,2.220446049250313e-16,0.00026119909227872995,0.003726553878845115,3.531244020374567e-05,0.0025242249159352624,4.668303885136327e-06,0.0039039697469519657
0.5,26,56,0.49204299904763366,2.220446049250313e-16,0.0001986450492381664,0.0028339923369791794,2.6921977990622875e-05,0.0019209209824814766,3.5637056820002625e-06,0.002974545590940399
0.5,27,56,0.492810894957856,2.220446049250313e-16,0.00015171563728699766,0.0021645656478963674,2.049516190768495e-05,0.0014658884747642826,2.708360726774734e-06,0.002266277324993897
0.5,28,56,0.4918030138576834,2.220446049250313e-16,0.00011522831067622974,0.001643895130835452,1.5632518866555734e-05,0.001114562018669327,2.070402140513995e-06,0.0017267686208806855
0.5,29,56,0.4931257989498864,2.220446049250313e-16,8.815943829176831e-05,0.0012578166337184967,1.1893590018378106e-05,0.0008515141557733815,1.5705955330304822e-06,0.0013155816241891003
0.5,30,56,0.49138958272383904,2.220446049250313e-16,6.680409154569134e-05,0.000953032494152036,9.078880166100519e-06,0.0006464631053494324,1.2035259304362387e-06,0.0010024227500681218
0.5,31,56,0.49366820458251803,2.220446049250313e-16,5.126445341829822e-05,0.0007314404194302316,6.9002960134242835e-06,0.0004948642392587999,9.10113040452895e-07,0.0007636944937551957
0.5,32,56,0.49067731296589073,2.220446049250313e-16,3.869336649131583e-05,0.0005519805031323368,5.274431453248093e-06,0.0003747275621226456,7.002974305549192e-07,0.0005819341450064396
0.5,33,56,0.49460239979223747,2.220446049250313e-16,2.9846559755242197e-05,0.0004258744966476529,4.0016429262825295e-06,0.0002878260246412289,5.266985903182391e-07,0.0004433202055006343
0.5,34,56,0.48945011593885424,2.220446049250313e-16,2.237482033251581e-05,0.0003191666875509142,3.0659151298139575e-06,0.00021698312598032214,4.081709750097206e-07,0.00033783843327093744
0.5,35,56,0.496211128750432,2.220446049250313e-16,1.7413266391486104e-05,0.00024849144890246705,2.318950590378809e-06,0.00016763919030864937,3.0412627910693713e-07,0.0002573424328728979
0.5,36,56,0.48733550482636645,2.220446049250313e-16,1.2901747197702207e-05,0.00018401728886843855,1.783854883113946e-06,0.000125412104437359,2.3859305710288374e-07,0.00019614191117026396
0.5,37,56,0.49898062316439923,2.220446049250313e-16,1.0195620063768729e-05,0.00014552042514426796,1.3421378552783581e-06,9.787101306439455e-05,1.74926987145809e-07,0.0001493849986201674
0.5,38,56,0.48369147707063836,2.220446049250313e-16,7.402536880363186e-06,0.00010556398647265408,1.0396146561323834e-06,7.225625063478404e-05,1.4015868482416067e-07,0.00011389155531670584
0.5,39,57,0.45063777257825727,2.220446049250313e-16,5.15517450594416e-06,7.861630755486186e-05,7.670937516265544e-07,5.132383680339369e-05,1.0262503381188347e-07,8.299493432177643e-05
0.5,40,56,0.4959978959710841,2.220446049250313e-16,4.093379061487212e-06,5.9235790556288115e-05,6.042178799358063e-07,4.116531279985942e-05,8.129697974028949e-08,6.556324897659417e-05
0.5,41,57,0.45676544645486067,2.220446049250313e-16,3.03706514159785e-06,4.6394919974481384e-05,4.369737502482972e-07,2.9947026689825222e-05,5.720089941427783e-08,4.760174538236521e-05
0.5,42,56,0.4853307540065566,2.220446049250313e-16,2.2614726731262635e-06,3.2748323081794464e-05,3.5129739251011447e-07,2.3102590978451434e-05,4.836191956752679e-08,3.771776508228182e-05
0.5,43,57,0.46847268110342255,2.220446049250313e-16,1.8275103457199293e-06,2.7931051880701755e-05,2.468724281940432e-07,1.7669742533325618e-05,3.123737496406629e-08,2.725838619754792e-05
0.5,44,56,0.4672216617795241,2.220446049250313e-16,1.209240622301877e-06,1.754932024450835e-05,2.0585946010453463e-07,1.2735708496646382e-05,2.9490425934144272e-08,2.174290298248746e-05
0.5,45,57,0.4887510690625007,2.220446049250313e-16,1.1323357966830372e-06,1.732757377529297e-05,1.3764230605756492e-07,1.0626867077212982e-05,1.6390172100403065e-08,1.5603140048262395e-05
0.5,46,56,0.43595859038035484,2.220446049250313e-16,6.043779876563349e-07,8.847596949613569e-06,1.2231289800563266e-07,6.802322940947736e-06,1.868889485961433e-08,1.2613260779713661e-05
0.5,47,58,0.43551327130745104,2.220446049250313e-16,7.703744131504209e-07,1.1047471485912207e-05,7.388966502924434e-08,5.493242464027067e-06,7.633321239623848e-09,8.041522929020508e-06
0.5,48,56,0.4181574260479352,2.220446049250313e-16,2.581369926701882e-07,3.847532270669973e-06,7.380347824492768e-08,3.3626225295046683e-06,1.243546091204404e-08,7.354689813871576e-06
0.5,49,58,0.4889047564843328,2.220446049250313e-16,5.199312340664619e-07,7.581341283170387e-06,3.8089848661178245e-08,3.595742832468686e-06,3.460231566146189e-09,4.605968359258289e-06
0.5,50,54,0.4647228054016104,2.220446049250313e-16,8.880437007974251e-08,1.622345279044705e-06,4.622817527068945e-08,2.1404985375055645e-06,8.855522233171633e-09,4.631012163283578e-06
0.5,51,65,0.47855908140152414,2.220446049250313e-16,3.3518142572575016e-07,5.0043126582320824e-06,1.5759606267664754e-08,2.216212926820274e-06,2.994207281212187e-09,2.507453977126847e-06
0.5,52,48,0.4996257896527556,2.220446049250313e-16,1.3442252111417474e-07,2.10005144661451e-06,2.5550570490064004e-08,1.2527886733399435e-06,6.2643046186008354e-09,2.771269264947511e-06
0.5,53,80,0.49706959727903144,2.220446049250313e-16,1.8294201709068147e-07,3.0295709178913713e-06,1.3835012886372408e-08,1.3775136974792167e-06,5.123478996400628e-09,2.0752056659884986e-06
0.5,54,99,0.4996656013019736,2.220446049250313e-16,1.1011042033715057e-07,1.9434041960091313e-06,2.453521190723376e-08,1.0369088869214058e-06,6.75368625271447e-09,2.819644186701608e-06
0.5,55,78,0.494299184058565,2.220446049250313e-16,1.8882360564020928e-07,3.0695020996371205e-06,1.3075972414937094e-08,1.393747820822081e-06,4.96837337234982e-09,2.0385646749493382e-06
0.5,56,102,0.4991707692892144,2.220446049250313e-16,1.0793911542350543e-07,1.8689943037028457e-06,2.5186946235587505e-08,1.0175918970402785e-06,6.911243387452396e-09,2.8944207148076236e-06
0.5,57,78,0.4861235867039081,2.220446049250313e-16,1.9103123349850648e-07,3.106504001873236e-06,1.2784626522396588e-08,1.4070461793123715e-06,4.912635528709372e-09,2.021858625492757e-06
0.5,58,103,0.4989667845157447,2.220446049250313e-16,1.035897412293707e-07,1.8346909807170347e-06,2.558160465674032e-08,1.0088402971075443e-06,6.964992540625801e-09,2.9253548580640204e-06
