actual_outer,start_objective,c,k,ck_cost,best_beta,best_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
20,109.57278813537108,1,50,50,0.0,109.57278813537108,0.0,1.6537275613350602,False,72058390.84775712,26875778396.374516,1.1655299419401182,107.94250827356883,3.2404989191949714,6801.277848364997,6801.277613491292
20,109.57278813537108,1,100,100,0.0,109.57278813537108,0.0,1.6537275613350602,False,51554.31291426347,744554228.2003053,0.7970837883277946,107.94250827356883,3.2404989191949714,188.41947928794949,188.41947308853148
20,109.57278813537108,1,200,200,0.02,108.13136774888453,-1.4414203864865556,0.2123071748485046,True,3990.868006916707,204457628.48620704,0.7515444131695126,107.94250827356883,3.2404989191949714,51.74074918724416,51.74075597074966
20,109.57278813537108,2,50,100,0.005,108.22233507685068,-1.3504530585204009,0.3032745028146593,True,32349.578528656097,586103929.2269136,0.6205512307521693,107.94250827356883,3.2404989191949714,0.02180787963044442,0.02180788666221395
20,109.57278813537108,2,100,200,0.05,108.11991691725973,-1.4528712181113548,0.20085634322370538,True,445.02810903111896,59380387.86054465,0.7186695642624904,107.94250827356883,3.2404989191949714,0.07975293144914106,0.07975293888811241
20,109.57278813537108,2,200,400,0.2,108.07001588283026,-1.5027722525408223,0.1509553087942379,True,147.35916881462165,20056293.17972275,0.6962028105372802,107.94250827356883,3.2404989191949714,0.09809510210584586,0.09809510815623967
20,109.57278813537108,2,300,600,0.5,107.9379156604909,-1.6348724748801828,0.018855086454877323,True,109.64756343883562,3713005.263669911,0.6751891055916381,107.94250827356883,3.2404989191949714,0.03139934602139663,0.03139934717815122
20,109.57278813537108,3,50,150,0.02,108.15959815300158,-1.4131899823695022,0.24053757896555794,True,4190.527196160332,204895852.46383625,0.37510072563074914,107.94250827356883,3.2404989191949714,0.3495895637677523,0.34958962437617375
20,109.57278813537108,3,100,300,0.05,108.13430270967389,-1.4384854256971948,0.21524213563786532,True,574.5135166719876,71042918.14900951,0.5798520546323009,107.94250827356883,3.2404989191949714,1.1964035093919188,1.1964037405052728
20,109.57278813537108,3,200,600,0.3,108.1428722577301,-1.4299158776409797,0.22381168369408044,True,121.09495808400055,12112629.929538434,0.5797969516992201,107.94250827356883,3.2404989191949714,0.6039315214752461,0.6039316348738115
20,109.57278813537108,3,300,900,0.0,109.57278813537108,0.0,1.6537275613350602,False,112.01888005178795,6331853.522380013,0.5634695516521084,107.94250827356883,3.2404989191949714,1.7053180351750776,1.705317680083666
20,109.57278813537108,5,200,1000,0.5,108.2116703996407,-1.3611177357303887,0.2926098256046714,True,109.31906317339153,4165829.321532082,0.43626337850842223,107.94250827356883,3.2404989191949714,1.0351392596466515,1.0351404400395796
20,109.57278813537108,5,300,1500,0.5,108.12346656672102,-1.4493215686500633,0.20440599268499682,True,108.85499446303625,3847143.251613264,0.4376493036795685,107.94250827356883,3.2404989191949714,1.0458563020336225,1.0458572948957745
