c,k,beta,post_objective,x_rel_to_direct,objective_improvement,x_rel_improvement,e_rel_to_exact,linear_residual_approx,raw_full_step_objective
5,200,1.0,111.17624434366519,0.01710415681296848,86.72956918309805,-0.016595188230321814,33.64454461248927,14249712.7338782,111.17624434366519
5,200,0.8,121.54399082826315,0.013657179855833737,76.36182269850009,-0.01314821127318707,33.64454461248927,14249712.7338782,111.17624434366519
5,200,0.5,146.88658656930355,0.00848931974074925,51.01922695745969,-0.007980351158102583,33.64454461248927,14249712.7338782,111.17624434366519
5,200,0.3,167.1288984481575,0.005050084805769367,30.776915078605725,-0.0045411162231226996,33.64454461248927,14249712.7338782,111.17624434366519
5,200,0.2,177.5377816642678,0.003337876204455209,20.368031862495428,-0.0028289076218085416,33.64454461248927,14249712.7338782,111.17624434366519
5,200,0.1,187.85946791422327,0.001651254308026155,10.046345612539966,-0.0011422857253794879,33.64454461248927,14249712.7338782,111.17624434366519
5,200,0.05,192.92815722893278,0.0008657054838662459,4.977656297830464,-0.00035673690121957886,33.64454461248927,14249712.7338782,111.17624434366519
5,200,0.02,195.92703479727632,0.0005261102739729005,1.978778729486919,-1.714169132623338e-05,33.64454461248927,14249712.7338782,111.17624434366519
5,200,0.01,196.91858224478847,0.0004880415494034131,0.987231281974772,2.0927033243253973e-05,33.64454461248927,14249712.7338782,111.17624434366519
5,200,0.005,197.41274767192868,0.0004911036496536749,0.4930658548345548,1.786493299299214e-05,33.64454461248927,14249712.7338782,111.17624434366519
5,200,0.002,197.70872044126997,0.000500118356832061,0.19709308549326465,8.85022581460608e-06,33.64454461248927,14249712.7338782,111.17624434366519
5,200,0.001,197.80728930034257,0.0005042681179980457,0.09852422642066472,4.700464648621397e-06,33.64454461248927,14249712.7338782,111.17624434366519
4,200,1.0,110.22689129665282,0.02017695796187162,87.67892223011042,-0.019667989379224954,39.69495529442429,7537400.225848638,110.22689129665282
4,200,0.8,108.68495431761718,0.016120642895750898,89.22085920914606,-0.01561167431310423,39.69495529442429,7537400.225848638,110.22689129665282
4,200,0.5,122.79655460192717,0.010038367275869561,75.10925892483607,-0.009529398693222894,39.69495529442429,7537400.225848638,110.22689129665282
4,200,0.3,144.49917621031744,0.0059886666844454544,53.406637316445796,-0.005479698101798787,39.69495529442429,7537400.225848638,110.22689129665282
4,200,0.2,159.39738702673318,0.003970150126554661,38.508426500030055,-0.003461181543907994,39.69495529442429,7537400.225848638,110.22689129665282
4,200,0.1,177.15769320818325,0.0019732500673676524,20.748120318579993,-0.0014642814847209854,39.69495529442429,7537400.225848638,110.22689129665282
4,200,0.05,187.15033810273647,0.0010233117884922665,10.75547542402677,-0.0005143432058455995,39.69495529442429,7537400.225848638,110.22689129665282
4,200,0.02,193.51106009929012,0.000572087773207437,4.39475342747312,-6.31191905607699e-05,39.69495529442429,7537400.225848638,110.22689129665282
4,200,0.01,195.69292399191627,0.000501994106654487,2.2128895348469655,6.974475992180111e-06,39.69495529442429,7537400.225848638,110.22689129665282
4,200,0.005,196.7954825156574,0.000495208432419269,1.110331011105842,1.3760150227398044e-05,39.69495529442429,7537400.225848638,110.22689129665282
4,200,0.002,197.4607473911689,0.000501050745248178,0.44506613559434527,7.917837398489064e-06,39.69495529442429,7537400.225848638,110.22689129665282
