basis_source,inner_cycles,pre_sweeps,outer,nonlinear_objective,e_star_norm,proj_rel,num_groups,coarse_dim
joint_covariance,1,50,0,812.7548653692855,160.9546229766807,0.16992428373989524,3,12
joint_covariance,1,50,1,70.01378668884301,24.44899447271764,0.1755846218604096,3,12
joint_covariance,1,50,2,26.79651989475793,3.252796431600974,0.05929077235099693,3,12
joint_covariance,1,50,3,26.77809526675101,0.5295390370862135,0.24442706116159696,3,12
joint_covariance,1,50,4,26.778105891450622,0.6568225903873881,0.20521617520069804,3,12
joint_covariance,1,50,5,26.778168399028495,1.1160249804459899,0.12388862982195302,3,12
joint_covariance,1,50,6,26.778205231349162,1.3134735199233123,0.10653147482789285,3,12
joint_covariance,1,50,7,26.77822265044734,1.3962993308827942,0.1007387211308916,3,12
joint_covariance,1,50,8,26.77823032909374,1.4319150052164888,0.09845437610938484,3,12
joint_covariance,1,50,9,26.778233648100606,1.4465345662764875,0.09755276619305599,3,12
joint_covariance,1,50,10,26.77823506146275,1.452947399046666,0.09716119063462927,3,12
joint_covariance,1,50,11,26.778235662047464,1.4556839203670835,0.09699536558639096,3,12
joint_covariance,1,50,12,26.778235922745406,1.4569483836034676,0.09691856056152058,3,12
joint_covariance,1,50,13,26.77823603327289,1.457280800191464,0.09689967769152852,3,12
joint_covariance,1,50,14,26.77823607888845,1.457959735394169,0.0968561342160976,3,12
joint_covariance,1,50,15,26.778236099167202,1.457490013145295,0.09688774300800929,3,12
joint_covariance,1,50,16,26.778236095983058,1.4581348623429393,0.09684488585506897,3,12
joint_covariance,1,50,17,26.778236099182674,1.4573606350168182,0.09689628026545712,3,12
joint_covariance,1,50,18,26.778236097499047,1.4579116484856611,0.09685983056009838,3,12
joint_covariance,1,50,19,26.778236104388974,1.4575832104085205,0.09688148786112064,3,12
joint_covariance,1,50,20,26.77823609906259,1.4575855556688175,0.09688099969141774,3,12
message_conditioned_information,1,50,0,812.7548653692855,160.9546229766807,0.17213296893322103,3,12
message_conditioned_information,1,50,1,63.8599226743495,33.871827690717915,0.11662894039108766,3,12
message_conditioned_information,1,50,2,26.81861366575778,15.914171580251887,0.023322466794457358,3,12
message_conditioned_information,1,50,3,26.78744531324363,10.010862744765191,0.02540928801759834,3,12
message_conditioned_information,1,50,4,26.783661882544376,6.871614955623593,0.030360906527203368,3,12
message_conditioned_information,1,50,5,26.78216877738654,5.16841190817474,0.036598625082136654,3,12
message_conditioned_information,1,50,6,26.781524668406895,4.245009951737003,0.04258403462251664,3,12
message_conditioned_information,1,50,7,26.78122383409009,3.7443525183853037,0.04726337044696901,3,12
message_conditioned_information,1,50,8,26.781074652837475,3.4717532935725277,0.05044886450517194,3,12
message_conditioned_information,1,50,9,26.780997642496015,3.323634851756341,0.052420544046256956,3,12
message_conditioned_information,1,50,10,26.780956871241393,3.242512437532444,0.05358424906661532,3,12
message_conditioned_information,1,50,11,26.780934987779,3.198270085544083,0.054245852262520725,3,12
message_conditioned_information,1,50,12,26.780923115745484,3.174023098457105,0.05461681142810385,3,12
message_conditioned_information,1,50,13,26.780916670014236,3.160623813163753,0.05482474067017499,3,12
message_conditioned_information,1,50,14,26.780913155250687,3.153831734772368,0.05493008539017183,3,12
message_conditioned_information,1,50,15,26.780911240975485,3.1498687712424736,0.05499219439488498,3,12
message_conditioned_information,1,50,16,26.780910193994494,3.14741021588209,0.0550312407582308,3,12
