damping,num_outer,best_outer,best_objective,final_objective,final_step_norm
1.0,100,47,107.91906057405497,107.91906057406256,2.3428465850309584e-05
0.8,100,35,107.91906057407083,107.91906057413159,5.9475736706773934e-06
0.5,100,49,107.91906057405525,107.91906057409402,6.925819332507273e-06
0.1,100,100,107.94678687930988,107.94678687930988,0.0020811134639670942
