stage,step,mu_norm,mu_max_abs,message_eta_norm,message_eta_max_abs
init,0,0.0,0.0,0.0,0.0
after_pre,1,14.729520413022001,0.9714857060666547,1338.6283488271729,167.40354158664817
after_vcycle,1,10.707088258914533,0.49666160225331635,1338.6283488271729,167.40354158664817
after_pre,2,29.61492112018901,1.1405140905457056,2215.7492133682135,322.1344307111252
after_vcycle,2,9.625349195153387,0.45857325139913285,2215.7492133682135,322.1344307111252
after_pre,3,25.94905838111839,0.9261624555315461,1731.2292300473628,255.15521249526077
after_vcycle,3,7.9572159291823645,0.40673229560739443,1731.2292300473628,255.15521249526077
after_pre,4,48.54153785322485,1.687261811398704,3371.390381075727,500.5328839205883
after_vcycle,4,7.373568750976214,0.32685944997779204,3371.390381075727,500.5328839205883
after_pre,5,58.353893534213775,1.7335369470854174,3731.1358833942745,582.4210450385821
after_vcycle,5,7.3826301850174145,0.39820631921768834,3731.1358833942745,582.4210450385821
after_pre,6,94.72703762117771,3.20565605833729,6321.844144393778,957.0523591574021
after_vcycle,6,5.991625420626314,0.2431190342358036,6321.844144393778,957.0523591574021
after_pre,7,130.0597507544569,4.095821344444053,8352.169106131158,1286.749959251865
after_vcycle,7,8.885140953837398,0.4730524369951832,8352.169106131158,1286.749959251865
after_pre,8,199.64542633562058,6.7157921508087774,13087.932496534924,1976.2372339170015
after_vcycle,8,7.3710509908430115,0.37865843904143315,13087.932496534924,1976.2372339170015
after_pre,9,288.81787425734495,9.478972211636858,18629.17620062052,2822.786618100479
after_vcycle,9,14.519363885253393,0.7344468739043961,18629.17620062052,2822.786618100479
after_pre,10,435.25145521750045,14.650485854540873,28313.95362473342,4242.379717829951
after_vcycle,10,16.05796483036519,0.8312866713309894,28313.95362473342,4242.379717829951
sync,1,343.6378568425545,25.470132099496972,22033.68093582596,3781.4516892422744
sync,2,401.3601029747508,32.74588344609857,30707.90125056521,6909.685504096119
sync,3,496.05847140385043,32.69741492053364,41352.302440056745,8289.453890898965
sync,4,558.8736315200822,33.07067813592343,45227.91386422755,6779.645140018939
sync,5,600.9232424876633,32.404776610330636,46492.808061037686,7690.4317443882965
sync,6,621.1489768408665,29.869708910160195,46224.68647001476,7252.908052146815
sync,7,620.267632412264,29.94560438499929,44728.958126200225,6948.649474308187
sync,8,610.9880255602897,28.36981217734956,43160.47390479905,6232.21706889566
sync,9,608.9828229368828,28.079617720836424,42650.67453886709,6816.191837468071
sync,10,615.7954088007751,28.788065510804483,42853.28083992389,6651.176704271625
sync,11,624.0599743436696,26.433258775275526,43127.828568472454,6567.55558025875
sync,12,630.7805604265867,26.38569439135227,43281.603825761544,6435.18243342816
sync,13,634.7856181801344,26.84222528164547,43204.8392047906,6677.062217902097
sync,14,635.6681953681474,27.048927431176242,42915.077349987136,6484.400639050604
sync,15,634.8140528853863,24.229868091145903,42589.07579999521,6416.750540686119
sync,16,634.9820147732604,22.85146940693494,42444.32498992936,6304.229823257423
sync,17,636.8124064619182,23.790162968029712,42433.027918392705,6398.753241940506
sync,18,639.4559118602862,22.908385033425336,42467.49680450877,6347.5331360836635
sync,19,642.0144659868082,23.223119133244534,42484.35564955439,6369.916423723292
sync,20,643.793356000511,23.981274948880575,42468.10005087094,6329.557943263254
sync,21,644.4393364226205,23.92036512464054,42383.74383930201,6347.840425764567
sync,22,644.5841493579652,24.111385337698128,42276.95315480105,6305.541453125103
sync,23,644.7763437357046,30.4846224957777,42195.71709491723,6328.330089278577
sync,24,645.0046791259751,28.094759880773985,42155.249422318215,6273.639172804547
sync,25,645.3635572746125,24.95770264798029,42134.13419696393,6297.375101275587
sync,26,646.0441072935891,23.898194401686798,42114.94449460116,6293.5005113269
sync,27,646.7980365418962,23.521847622771762,42086.65318116712,6308.0825040105365
sync,28,647.1648932303133,22.498158808250786,42051.23716338307,6275.067245736856
sync,29,647.1380750136045,22.316834165008434,42014.29549861932,6277.467934060426
sync,30,647.0586437459624,23.06034064059646,41984.826430214736,6279.139518221105
sync,31,647.1346600578237,22.870542554137604,41962.06237499721,6293.851518306979
sync,32,647.3226110523154,22.341858896517422,41942.63309673662,6275.100506683814
sync,33,647.543110360171,22.166955873098917,41927.961236968455,6275.135103995602
sync,34,647.7121028377314,22.08536516171147,41911.75753104719,6267.080103929973
sync,35,647.7319901556023,22.006558409624386,41893.439184823874,6276.549454628399
sync,36,647.6264711058501,21.92106318733563,41872.4038531353,6265.106227795693
sync,37,647.4598813918868,21.870495618763286,41854.28493194485,6265.413256801718
sync,38,647.2833040363781,21.843244478930202,41839.357983952155,6260.099380371796
sync,39,647.122729894975,21.811190434899796,41826.721902685764,6264.015193111711
sync,40,646.9843085822398,21.758574322736955,41814.1536857352,6258.05144487309
sync,41,646.8326595130064,21.714798376449497,41802.636857803045,6257.822180918327
sync,42,646.630341743551,21.69035449413302,41790.794257481444,6253.261230306589
sync,43,646.4279994870808,21.66303838622124,41780.18831539132,6254.926921243462
sync,44,646.3083185069249,21.64207186832412,41770.20098850984,6251.409523814334
sync,45,646.2551766554845,21.62830260431361,41762.26080455706,6251.2100654479855
sync,46,646.2195238643195,21.620228600679773,41755.923310034195,6248.8186644336765
sync,47,646.1726307623802,21.609040859621942,41750.15389034527,6249.9509070923
sync,48,646.1023605785186,21.594523871004014,41742.61734436493,6249.128035352357
sync,49,646.0039939051157,21.57825725237996,41734.554425162576,6248.685043093133
sync,50,645.882855521727,21.573165892409495,41726.04304995532,6246.275157681771
sync,51,645.7671551738583,21.567897138465565,41717.95925877013,6245.998359974186
sync,52,645.674804646766,21.56183763070559,41710.1246122931,6244.858026008878
sync,53,645.6073310269593,21.55559837001777,41703.34023275014,6245.169572220124
sync,54,645.5527686345462,21.550386092055696,41697.585665120634,6243.830993655558
sync,55,645.4978017410739,21.545339713489813,41692.522551555725,6243.7098676351025
sync,56,645.4312640055628,21.54058790106198,41687.3360273256,6242.725665203263
sync,57,645.3513958110394,21.536496004250257,41681.74368540281,6242.475433978845
sync,58,645.2660964168151,21.532151872959354,41676.00022420391,6241.243762745707
sync,59,645.1848499187561,21.527308903255843,41670.45358519255,6240.846266492785
sync,60,645.1121508814249,21.522868018833638,41665.10995040293,6239.95460329381
sync,61,645.0460057464776,21.5187629775893,41659.989597528045,6239.5586597044785
sync,62,644.9803597397195,21.514570886617346,41655.13926320955,6238.700418412952
sync,63,644.9100385919077,21.51057274570117,41650.517686057145,6238.223554132045
sync,64,644.8340107893499,21.50697909018838,41645.78961894842,6237.418297191775
sync,65,644.7576834386431,21.50363598261489,41641.014478974976,6236.859642163815
sync,66,644.6850740461504,21.500189460285622,41636.375371711256,6236.039839208339
sync,67,644.6169269993457,21.496831325459592,41631.910817205,6235.4068827494
sync,68,644.5514907344194,21.49375039719572,41627.61138820236,6234.745404715359
sync,69,644.4872668050958,21.490895226434517,41623.42520998451,6234.274324898129
sync,70,644.4222794661458,21.488131824516827,41619.32250261468,6233.645065640691
sync,71,644.3559335490568,21.48558684025148,41615.319953269995,6233.108486307922
sync,72,644.28930391986,21.483188152567816,41611.333209696044,6232.471841688602
sync,73,644.2238247426702,21.480890796949428,41607.4011813997,6231.944831969004
sync,74,644.1599071347069,21.478702786852367,41603.52240943185,6231.3022082382695
sync,75,644.0970656408621,21.476650408751603,41599.74905128923,6230.793002751451
sync,76,644.0348037977923,21.47477269735422,41596.03446770869,6230.227702409139
sync,77,643.9722068128552,21.473019974147206,41592.393493767944,6229.739946216283
sync,78,643.9092405541293,21.47140601245112,41588.77039742097,6229.157792820677
sync,79,643.8461142179063,21.469916485294778,41585.22302429765,6228.64546010565
sync,80,643.7830315592606,21.468540838899084,41581.697446472055,6228.089089162215
sync,81,643.7204366920666,21.46726900610139,41578.24515007277,6227.57644196593
sync,82,643.6584516527612,21.466103598800593,41574.82692256717,6227.032312235516
sync,83,643.5967872347311,21.46504737765547,41571.47362257204,6226.522532596539
sync,84,643.5348430478214,21.4640948450176,41568.14604684233,6225.993916932849
sync,85,643.4726104870574,21.463232462214933,41564.874189286296,6225.483361628637
sync,86,643.4104470639627,21.462452738884885,41561.62893476348,6224.958891871717
sync,87,643.3485166311408,21.46176161409209,41558.43424440562,6224.446550942526
sync,88,643.2867714317655,21.46115204726807,41555.25066406278,6223.926024788849
sync,89,643.225161840207,21.46062424931711,41552.11300069738,6223.416856171751
sync,90,643.1637162875759,21.46017117367652,41548.99610187389,6222.899764897493
sync,91,643.1022391827647,21.45979299442961,41545.92165484167,6222.396087459593
sync,92,643.0405339320539,21.459481358029745,41542.862914367855,6221.886869146797
sync,93,642.978719070696,21.459232696501363,41539.84483018362,6221.388981156816
sync,94,642.9171114970379,21.459049129280686,41536.84723394292,6220.882882835459
sync,95,642.8558854335581,21.45892662440864,41533.88775727653,6220.38580935573
sync,96,642.79488368156,21.458862095096812,41530.9434058553,6219.881510018644
sync,97,642.7339907536865,21.45885390641079,41528.03243673382,6219.385635456117
sync,98,642.673051035719,21.45889990881549,41525.14151666828,6218.88814481908
sync,99,642.6120467000121,21.458998866751163,41522.279110139825,6218.396276673019
sync,100,642.5510040118041,21.45914757088675,41519.431473979595,6217.901451823429
sync,101,642.4900344033324,21.45934486805701,41516.608353547,6217.407143078729
sync,102,642.4292665589458,21.459588404532496,41513.803655590804,6216.914175144601
sync,103,642.3686789539049,21.459877856758776,41511.02387665325,6216.422716666536
sync,104,642.3082682428619,21.46020995083379,41508.26105052072,6215.933013590411
sync,105,642.2479289512077,21.46058442129407,41505.52042524652,6215.442435233144
sync,106,642.1876160684274,21.460999285622197,41502.79459233691,6214.952411198082
sync,107,642.127333848989,21.461453716336173,41500.08792314671,6214.462632775084
sync,108,642.0671476400233,21.46194534471203,41497.39556086065,6213.97305778349
sync,109,642.0070765102932,21.46247371183346,41494.72153773075,6213.48391244114
sync,110,641.9471155679685,21.463036972493114,41492.06199036115,6212.994669199235
sync,111,641.8872962828372,21.46363450792128,41489.419516803035,6212.506248680919
sync,112,641.8275753065104,21.464264893892377,41486.79054437337,6212.017521915798
sync,113,641.7679626886851,21.464927452148885,41484.17719538545,6211.52891907193
sync,114,641.7084286976171,21.465620576574814,41481.576493985085,6211.039984265728
sync,115,641.6490041150495,21.466343692160038,41478.989820763614,6210.55096380552
sync,116,641.5896913901762,21.467095406941834,41476.41526510944,6210.062095026953
sync,117,641.5304997303833,21.467875154526414,41473.85392841004,6209.5729487323715
sync,118,641.4714158092877,21.468681740729686,41471.30429995322,6209.083847937332
sync,119,641.412440931335,21.469514619594307,41468.76770426662,6208.594117103231
sync,120,641.3535597952088,21.470372624242707,41466.241846452154,6208.1045212471145
sync,121,641.2947864852983,21.47125525415959,41463.728256013484,6207.614347324768
sync,122,641.2361284572538,21.472161416972927,41461.224324401985,6207.124240193831
sync,123,641.1775794439673,21.473090722825862,41458.73159541962,6206.633472288026
sync,124,641.1191340712994,21.474042112242724,41456.24836453031,6206.142583261517
sync,125,641.0608139389244,21.475015180156085,41453.77592205414,6205.651186431105
sync,126,641.0026020210594,21.476008982447077,41451.31258209452,6205.159663282723
sync,127,640.9444938863983,21.477023073861847,41448.85964887035,6204.667633787496
sync,128,640.8865049412444,21.47805664576454,41446.41501250086,6204.175282560143
sync,129,640.828613844831,21.479109286783544,41443.97959205698,6203.682436655722
sync,130,640.7708228562371,21.48018023537949,41441.551799335415,6203.189297696605
sync,131,640.7131534281576,21.481269030290026,41439.13308446315,6202.6956457298
sync,132,640.6556012940507,21.48237501438093,41436.72233039321,6202.2017313488905
sync,133,640.5981610846337,21.483497756710218,41434.320569364085,6201.707348223808
sync,134,640.5408193965494,21.48463663109883,41431.925829310974,6201.212684576844
sync,135,640.4835903145303,21.485791239323696,41429.538903454064,6200.7174518077
sync,136,640.426457188489,21.48696099166098,41427.15896088901,6200.22193334299
sync,137,640.3694437574471,21.488145506487516,41424.786960610916,6199.725906354898
sync,138,640.3125473601244,21.489344222822602,41422.421946249975,6199.229605980691
sync,139,640.255766023778,21.490556785835704,41420.064140918315,6198.73282162908
sync,140,640.1990859035486,21.491782687183118,41417.71241249897,6198.235742602916
sync,141,640.1424974874637,21.493021580369003,41415.367448998324,6197.73820218833
sync,142,640.0860404628062,21.494272981888944,41413.02877798635,6197.240346767823
sync,143,640.0296673480715,21.495536564491196,41410.696916085566,6196.74206461193
sync,144,639.9734287609883,21.496811867742927,41408.37104716124,6196.243477682884
sync,145,639.9172869180398,21.49809857919944,41406.0514114924,6195.7444793344
sync,146,639.8612512061101,21.49939628736773,41403.73706687416,6195.245186613161
sync,147,639.8053076554746,21.50070468301464,41401.42880987497,6194.745508776308
sync,148,639.7494856076704,21.50202337053315,41399.12603261957,6194.245552963823
sync,149,639.6937714278208,21.503352060626042,41396.82914197072,6193.745223129938
sync,150,639.6381526228097,21.504690387269633,41394.53771468656,6193.2446281174225
sync,151,639.5826514733973,21.506038066880308,41392.25128230222,6192.743682128172
sync,152,639.5272442864131,21.507394759053692,41389.969963989446,6192.242488135636
sync,153,639.4719480308686,21.50876019052842,41387.69347549025,6191.740967606252
sync,154,639.416751442867,21.510134045142674,41385.42233069763,6191.239213171788
sync,155,639.3616636889594,21.511516054005885,41383.15603049791,6190.737164238828
sync,156,639.3066806587694,21.512905923933122,41380.894588137344,6190.2348964198745
sync,157,639.251795723811,21.514303405092278,41378.63740726831,6189.732357095908
sync,158,639.1970142456531,21.515708211201925,41376.384913631584,6189.229609966327
sync,159,639.1423351766215,21.51712010108544,41374.13722867803,6188.726622171062
sync,160,639.0877493088988,21.51853881077764,41371.89405195511,6188.223446530083
sync,161,639.0332734185766,21.51996411301462,41369.655578724974,6187.7200549030495
sync,162,638.9789032831137,21.52139575081326,41367.42121193221,6187.216495346671
sync,163,638.924633794249,21.522833509877106,41365.19108706654,6186.712745812128
sync,164,638.8704473447531,21.52427714928316,41362.965070556165,6186.20884758887
sync,165,638.816371999141,21.525726465093072,41360.743128713104,6185.704779549131
sync,166,638.7623979459737,21.527181224428023,41358.525139706275,6185.200584797901
sync,167,638.7085225365423,21.528641230475724,41356.31130511369,6184.696248249836
sync,168,638.6547545904523,21.530106268308128,41354.10117077349,6184.1918055890565
sync,169,638.6010757130426,21.531576148505227,41351.89464823224,6183.687243705286
sync,170,638.547482961222,21.533050669116204,41349.69158423577,6183.182594802195
sync,171,638.493996464215,21.534529646032478,41347.4922946508,6182.677851486694
sync,172,638.4406109133062,21.53601288889177,41345.29682502336,6182.173041085819
sync,173,638.3873256655068,21.53750021853954,41343.10539324928,6181.6681609771
sync,174,638.3341249529535,21.53899145705142,41340.917091479205,6181.163235183725
sync,175,638.2810299932685,21.540486435789184,41338.73202553509,6180.658260816913
sync,176,638.2280083175342,21.541984981462452,41336.55030171024,6180.153260776059
sync,177,638.1750930705189,21.543486934471037,41334.37229415019,6179.648235462715
sync,178,638.1222793759813,21.544992130429968,41332.19790620628,6179.143206759872
sync,179,638.069560891609,21.546500417026003,41330.02675261177,6178.63817246638
sync,180,638.016932268593,21.548011638039103,41327.85844603199,6178.13315496057
sync,181,637.9643795252836,21.54952564341318,41325.69323646708,6177.628153946546
sync,182,637.9119424769654,21.551042289898014,41323.53123873401,6177.123190179415
sync,183,637.859575854832,21.552561435325337,41321.37263591592,6176.618262981898
sync,184,637.8073241588262,21.55408293659405,41319.217122749345,6176.113392994673
sync,185,637.7551550471978,21.555606662857464,41317.064653462316,6175.6085800683995
sync,186,637.7030700271372,21.557132476331777,41314.91475218908,6175.103842872818
sync,187,637.6510673613162,21.558660252864893,41312.767942448896,6174.5991840212555
sync,188,637.599163756136,21.560189859379086,41310.62405811505,6174.094619572841
sync,189,637.5473566884986,21.561721176987206,41308.48323052984,6173.590152057502
sync,190,637.495624131899,21.563254082180844,41306.34543647469,6173.085796689846
sync,191,637.4439935390251,21.56478845680511,41304.21003031886,6172.581559059173
sync,192,637.392441435804,21.56632418562934,41302.07742351861,6172.077452013883
sync,193,637.3409809040553,21.567861157589842,41299.947199849485,6171.573480523344
sync,194,637.2896041387025,21.569399258234128,41297.82011431734,6171.069655866567
sync,195,637.2383186127722,21.570938382692272,41295.69560006124,6170.565984475808
sync,196,637.187117450429,21.57247842496623,41293.57383816858,6170.062479274951
sync,197,637.1360039502042,21.57401927956513,41291.45421654165,6169.559145376079
sync,198,637.0849685940387,21.57556084832047,41289.33729827459,6169.055992418812
sync,199,637.0340238842964,21.57710303196143,41287.22315965116,6168.553027537319
sync,200,636.9831543479269,21.57864573642728,41285.11168308732,6168.050260495807
sync,201,636.932375772088,21.580188861298694,41283.00296795619,6167.547698228914
sync,202,636.8816862416284,21.58173232130238,41280.896614371566,6167.045349643314
sync,203,636.831079047097,21.583276020026172,41278.79270242641,6166.54322202425
sync,204,636.7805412053727,21.584819873633517,41276.691211735226,6166.041323492327
sync,205,636.7300927559572,21.586363795409927,41274.59210404145,6165.53966072596
sync,206,636.6797285802628,21.587907701098736,41272.495348852586,6165.038241414263
sync,207,636.629444611819,21.589451506210896,41270.40117126306,6164.537074170685
sync,208,636.5792537614653,21.590995132911964,41268.30916051508,6164.036164833105
sync,209,636.529133030684,21.59253849919667,41266.2192417686,6163.5355215475865
sync,210,636.479079485784,21.594081531326502,41264.131365901,6163.0351504659475
sync,211,636.4291176905213,21.595624152262225,41262.04583724983,6162.5350594076845
sync,212,636.3792381235063,21.59716628924139,41259.96276608307,6162.035253061621
sync,213,636.3294386707005,21.59870787025647,41257.88234518589,6161.53574110896
sync,214,636.2797098456498,21.600248821151038,41255.803790931255,6161.036528989194
sync,215,636.2300652802695,21.601789076165836,41253.72717351283,6160.537622449009
sync,216,636.1804824173702,21.603328568699904,41251.652664216,6160.039028113221
