outer,carry_message_eta,carry_message_lam,carry_coarse_state,settle_sweeps,coarse_settle_sweeps,freeze_basis_from_outer0,carry_basis_prev_outer,blend_current_basis_weight,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,xy_rel_to_direct,inner_cycles,pre_sweeps,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim
0,False,False,False,0,0,True,False,None,812.7548653692855,28.864061942407687,35.21772553446426,0.4957170624640948,0.13766188466282853,,,,,,,,,,,
1,False,False,False,0,0,True,False,None,78.30141351618857,22.376619816900117,25.26469452395577,0.19372752250013225,0.01926439232400925,5,10,140.77797751887744,160.9546229766807,0.17060660303152236,1.520187911534838e-12,85.86535666925542,2.955467830667876,-7.39709118662654,3,12
2,False,False,False,0,0,True,False,None,27.067534219832986,24.1345882728454,27.968098514982533,0.22867461897939548,0.04636013955112517,5,10,35.76519896990769,21.884613984096607,2.422996099122406,2.7505028179343745e-13,11.888711118374605,5.70822244274736,0.2713457760667417,3,12
3,False,False,False,0,0,True,False,None,27.586843663861337,25.70656499757625,30.176405036885157,0.25792952886244574,0.07432780767951709,5,10,32.92793399350287,54.324762725177855,1.598588567590054,5.554998699946716e-13,22.846592866162823,9.31643236791844,0.8148100987939095,3,12
4,False,False,False,0,0,True,False,None,28.11010015252984,27.21440997170385,32.29247678593958,0.2848417418054075,0.1003885915557641,5,10,30.72551671287968,87.48979329428845,1.347345789256521,5.325168786380643e-13,28.935716304801893,12.692200118237306,1.3336537932806074,3,12
5,False,False,False,0,0,True,False,None,28.798751457829013,28.665075933646158,34.30679328723829,0.3093542102249107,0.12477947433427569,5,10,28.935235556613836,118.6493827887236,1.2406346091299822,1.1776787242180948e-12,35.634993733595955,15.907072265850987,2.011772544925261,3,12
