outer,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,linear_step_norm,linear_residual_norm
0,812.7548653692855,28.864061942407687,35.21772553446426,0.4957170624640948,,
1,85.69850470281511,19.805362150910305,22.060058744388854,0.15855123317306835,160.9546229766807,1.520187911534838e-12
2,26.776354143093155,21.686200338133077,24.30116300536892,0.15869925697564552,22.715443354487732,1.456479381195399e-13
3,26.770034335761316,21.693415994474776,24.311858098432186,0.1589614083353863,0.1978334347689551,2.769319301564417e-15
4,26.770030027892545,21.693645368781286,24.312190910397494,0.15897229587486433,0.005741528331745744,7.021006341962717e-17
5,26.770030023123468,21.693652192000282,24.31218768457049,0.1589717607195256,0.0010494731617962448,7.150976172363104e-18
6,26.770030023116277,21.693642756052018,24.312179220668877,0.1589718347508896,0.00016674538430099943,1.1673564144487466e-18
7,26.770030023118103,21.693652635749476,24.312187425386867,0.15897172992419278,0.00023059043562643927,1.4567398474612128e-18
8,26.770030023115613,21.693649694822792,24.312192683523016,0.15897222342303086,0.0006456681567592787,4.298589793654427e-18
9,26.77003002311523,21.69364770322304,24.312188858627813,0.15897211096449151,0.00011319788582152496,1.0029209637194883e-18
10,26.770030023115726,21.693659305589854,24.312199934479317,0.15897207270310806,0.00017116634317928742,8.471330684730088e-19
