basis_source,outer,position_rel
joint_covariance,0,0.2823436998198486
joint_covariance,1,0.20068464205471354
joint_covariance,2,0.1972142332196984
joint_covariance,3,0.1953475996951545
joint_covariance,4,0.1945284254965934
joint_covariance,5,0.194182517836357
joint_covariance,6,0.19403632054708747
joint_covariance,7,0.19397448234974846
joint_covariance,8,0.1939483281625129
joint_covariance,9,0.19393727033234506
joint_covariance,10,0.19393267676774054
joint_covariance,11,0.1939306390794429
joint_covariance,12,0.19392979488744802
joint_covariance,13,0.1939294358059509
joint_covariance,14,0.1939293725151698
joint_covariance,15,0.1939292598565293
joint_covariance,16,0.19392933455818917
joint_covariance,17,0.19392916916136962
joint_covariance,18,0.19392926967238555
joint_covariance,19,0.1939292714964611
joint_covariance,20,0.19392924725926544
message_conditioned_information,0,0.2823436998198486
message_conditioned_information,1,0.2172779750700645
message_conditioned_information,2,0.20811102798812706
message_conditioned_information,3,0.20340832815501367
message_conditioned_information,4,0.20081284485450437
message_conditioned_information,5,0.19940038069681273
message_conditioned_information,6,0.19862979976165426
message_conditioned_information,7,0.19820887403245502
message_conditioned_information,8,0.19797880898109035
message_conditioned_information,9,0.1978529017356078
message_conditioned_information,10,0.19778413032687886
message_conditioned_information,11,0.19774636794320347
message_conditioned_information,12,0.19772577423890958
message_conditioned_information,13,0.19771451995138234
message_conditioned_information,14,0.19770836345069656
message_conditioned_information,15,0.19770501240367577
message_conditioned_information,16,0.19770311779402858
message_conditioned_information,17,0.19770214073530007
message_conditioned_information,18,0.19770158335551194
message_conditioned_information,19,0.1977012829858086
message_conditioned_information,20,0.1977011477763631
