family,k,final_cycle,final_relerr,final_residual,best_relerr,best_cycle,diverged,cycle1_metric_a,cycle1_metric_b,cycle2_metric_a,cycle2_metric_b
residual_base,1,100,0.0005157601115444619,0.9899678965386425,0.0004753308017448732,46,False,0.4043312983960413,100000000.0,0.6498148728220154,100000000.0
residual_base,2,100,0.0005489749727718726,11.345119635477566,0.0005078291113571702,20,False,0.22321044344376437,0.9999999898990001,0.3708665438878227,0.9999999898990001
residual_base,5,100,0.002272756430836688,13.719473496730952,0.0021440797055903497,5,False,0.09691297820406891,0.24999999905937464,0.6685058395915949,0.24999999905937464
residual_base,10,100,0.002099133143749932,14.915710381080501,0.0020787304134689904,4,False,0.10588939327039959,0.1111111103330239,0.6823157382697517,0.1111111103330239
residual_base,20,100,0.0018965976930924245,8.727727461507019,0.0018965976708063739,36,False,0.06565113512991129,0.220403794954665,0.6151415789015278,0.220403794954665
residual_base,50,100,0.0002806756040324446,1.084233110031483,0.00028067560402530333,53,False,0.006869753999798382,0.01854687698793922,0.14488767482796336,0.01854687698793922
persistent_state,1,100,37.29862675913072,121370.80844702902,0.016241046086676342,2,False,0.40553406769065303,100000000.0,0.7700797388393308,0.9999989899010006
persistent_state,2,100,0.011019570054707132,195.07873908530865,0.0009074594870808969,39,False,0.26712546005902577,0.9999989899010006,1.657987635205175,0.33333233197933454
persistent_state,5,100,0.0061535706602723235,39.750571495019194,0.0004158332665223025,23,False,0.11368349812388381,0.24999899906437684,2.704229054433049,0.2584165366444853
persistent_state,10,84,1383080568730.747,5164968850851237.0,0.004324831989903772,1,True,0.10046705046483284,0.2584165366444853,1.9930604585363039,0.13055599068961865
persistent_state,20,100,3784.2102589930723,8556653.778641872,0.0005515405713784764,3,False,0.01590788077882288,0.13055599068961865,1.1742509110627153,0.019264284874414894
persistent_state,50,100,4.65208187934596e-09,2.068840234480665e-06,3.0275273492830865e-09,67,False,0.003965592982666257,0.014251365443222808,0.10206453637048844,4.4860519166078916e-07
