outer,direct_objective,mg_objective,mg_minus_direct,mg_e_rel_to_exact,mg_linear_residual_approx,mg_next_objective_gap_to_exact
0,3350168.410825497,3350168.410825497,0.0,,,
1,902153322.0538718,7653077875.133799,6750924553.0799265,0.5654814017060225,40898070593.11376,6750924553.0799265
2,4712688.29331331,68812629.49212398,64099941.19881067,0.8867023364609338,299624330.70587105,-86188402.75985183
3,109.13274693353951,2189918.5009012353,2189809.368154302,0.9891986504211101,7543392908.156506,-12629874.432066295
4,107.91906069978756,1647081.2764519216,1646973.3573912217,0.9641971570393228,3018029188.229632,-36733205.37528547
5,107.91906057435813,1575211.160798618,1575103.2417380437,1.0130801865275914,4006843078.7023325,1416056.1401362717
10,,71309.9036352082,,0.9974004871888853,867417650.2069368,-2251066.923869065
15,,83619.99470814056,,0.9933234256539609,984886472.5526161,-813564.8053066155
20,,191938.73176371233,,1.009838053509843,1458419604.6434667,-2209229.6076660776
