base_label,start_objective,start_x_rel_to_direct,exact_after_objective,exact_after_x_rel_to_direct,c,k,ck_cost,beta,post_objective,objective_improvement,x_rel_to_direct,x_rel_improvement,linear_residual_approx,e_rel_to_exact,raw_full_step_objective,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer16,208.36310037806194,0.013442294449068937,108.02285344718634,5.3269868850718154e-06,2,100,200,1.0,234.3967479601111,-26.033647582049156,0.013939009250592459,-0.0004967148015235217,36838618.472431816,1.0371485043549673,234.3967479601111,0.11019775614322311,0.1101977588382208
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer16,208.36310037806194,0.013442294449068937,108.02285344718634,5.3269868850718154e-06,2,100,200,0.8,157.33068180869063,51.032418569371316,0.013832983689778346,-0.0003906892407094086,36838618.472431816,1.0371485043549673,234.3967479601111,0.11019775614322311,0.1101977588382208
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer16,208.36310037806194,0.013442294449068937,108.02285344718634,5.3269868850718154e-06,2,100,200,0.5,109.11519687979167,99.24790349827028,0.013680095112084675,-0.00023780066301573762,36838618.472431816,1.0371485043549673,234.3967479601111,0.11019775614322311,0.1101977588382208
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer16,208.36310037806194,0.013442294449068937,108.02285344718634,5.3269868850718154e-06,2,100,200,0.3,121.87949174130972,86.48360863675222,0.01358237692089798,-0.00014008247182904256,36838618.472431816,1.0371485043549673,234.3967479601111,0.11019775614322311,0.1101977588382208
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer16,208.36310037806194,0.013442294449068937,108.02285344718634,5.3269868850718154e-06,2,100,200,0.2,141.7303097529442,66.63279062511774,0.013534807659211985,-9.251321014304772e-05,36838618.472431816,1.0371485043549673,234.3967479601111,0.11019775614322311,0.1101977588382208
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer16,208.36310037806194,0.013442294449068937,108.02285344718634,5.3269868850718154e-06,2,100,200,0.1,170.55859157357577,37.804508804486176,0.013488110472367485,-4.5816023298547726e-05,36838618.472431816,1.0371485043549673,234.3967479601111,0.11019775614322311,0.1101977588382208
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer16,208.36310037806194,0.013442294449068937,108.02285344718634,5.3269868850718154e-06,2,100,200,0.05,188.33889488665554,20.024205491406406,0.013465091749040512,-2.2797299971575105e-05,36838618.472431816,1.0371485043549673,234.3967479601111,0.11019775614322311,0.1101977588382208
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer16,208.36310037806194,0.013442294449068937,108.02285344718634,5.3269868850718154e-06,2,100,200,0.02,200.0841598097985,8.278940568263437,0.013451386725957252,-9.092276888314835e-06,36838618.472431816,1.0371485043549673,234.3967479601111,0.11019775614322311,0.1101977588382208
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer16,208.36310037806194,0.013442294449068937,108.02285344718634,5.3269868850718154e-06,2,100,200,0.01,204.17875452537422,4.184345852687727,0.013446836140979494,-4.541691910556894e-06,36838618.472431816,1.0371485043549673,234.3967479601111,0.11019775614322311,0.1101977588382208
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer16,208.36310037806194,0.013442294449068937,108.02285344718634,5.3269868850718154e-06,2,100,200,0.005,206.25970863700175,2.103391741060193,0.01344456418282711,-2.2697337581732008e-06,36838618.472431816,1.0371485043549673,234.3967479601111,0.11019775614322311,0.1101977588382208
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer16,208.36310037806194,0.013442294449068937,108.02285344718634,5.3269868850718154e-06,2,100,200,0.002,207.51905117548114,0.8440492025808055,0.013443202075572787,-9.076265038501785e-07,36838618.472431816,1.0371485043549673,234.3967479601111,0.11019775614322311,0.1101977588382208
