sweep,mu_norm,mu_max_abs,message_eta_norm,message_eta_max_abs
0,0.0,0.0,0.0,0.0
1,30.716603654001712,18.013618197947984,4.866348716484024e-06,4.7779191876054505e-06
2,7.88709577439913,5.372721729586723,1.3190415006220577e-05,1.0135536754801722e-05
3,28.630408959785527,27.78496079191629,2.0009236964995407e-05,1.4903278301323097e-05
4,1038.7211500161698,981.7900979953314,0.00013281500028210826,9.557159424100625e-05
5,67.75134360595706,58.02225306437463,0.0008063956961773427,0.0005209991964250094
6,110.75425874769685,89.5239725380902,0.003043640227247176,0.0014208838392896772
7,509.64891448379166,460.8457606835189,0.009119559995524587,0.003123585564785869
8,19.2725154016726,14.270382666734447,0.027107508097090987,0.007671470773028322
9,36.518463082131426,35.35305357361964,0.09490059813875901,0.03109787473388792
10,51.76412955983731,47.32802292386892,0.4306967077938053,0.1863199225339507
11,6.497291340319558,2.6453519534985572,2.086755219990278,1.044002500510036
12,6.400322622239067,2.1964115698446083,8.282233670822109,3.1729147893001493
13,9.118128008888913,6.717583519519428,131.94540716793585,80.92394328417949
14,15.23358703505205,9.366787545855704,13858.02862383005,12632.93592193457
15,8.403767992892904,4.28910937740876,1442.993784701478,1267.9284158581877
16,8.307669736787508,4.322323108818054,635.7636641300645,384.2668636737607
17,30.99240380653983,26.25429718862488,459.1113730763076,307.5708330538514
18,50.214282663093165,43.006380791785034,1585.7267683615305,915.2199164535979
19,19.355843248947714,7.780976130139502,231861.69512567742,230004.68759507706
20,103.17683627942705,86.24681504239878,6373.748618380296,5616.98871722798
21,37.26837830385963,13.581335766099121,19704.925052557035,19276.384025969783
22,68.11840434106418,40.58240617853345,60120.5175512763,43334.872892582076
23,50.903146560300634,26.905119226785292,555929.6771067892,383130.1348972825
24,68.57470168520966,39.72383896469183,5481.57079353546,3506.097161625046
25,80.65368577150024,43.83145675437206,4050.3061477839037,2021.0059211073278
26,44.492574763469094,25.649830306999263,6222.006042263486,4530.981456033921
27,70.37422229919001,35.32392137428557,13925.736725225881,7753.142318226019
28,40.23443002890391,16.46540148383689,3880.0722925878645,1931.1261630105168
29,36.7149172968489,11.359440669141406,4310.456173860176,2178.979904879634
30,49.40501730667458,33.70405399607136,2827.4640446731846,842.4009008483027
31,97.99221281962627,79.1256592151675,2563.032122556054,726.6058611097098
32,37.00932749455327,18.88699839463468,2531.075683526723,717.8507529915688
33,32.92218383507955,13.432351737942355,2232.039526400038,542.1393032985837
34,34.032637230694874,15.877377336528784,2074.9639556091615,513.3039369529779
35,33.05155447377048,15.641155982440909,5318.434246396701,4849.942227612302
36,27.970684807439582,9.01934703498943,2071.5520318483686,496.92171357847144
37,26.505243253154976,11.571098314251172,2024.1761853324624,453.63102555088676
38,23.84614392401195,6.883893166748966,3768.0772883751697,3267.079495320135
39,21.8695974961413,4.934482796669152,1804.0512649362965,389.5669702667896
40,20.631887401555478,3.946227417200977,1687.4281346463513,343.8745285175683
41,19.58929560315368,3.1112030982208436,2397.0684027729926,1630.2394160023664
42,18.97417664580259,3.2567646900085223,1685.9467703385062,333.6139714196982
43,18.843698037623852,3.305833489580549,1727.6794275434097,365.41048897313914
44,18.397726429459528,2.5268151276700648,1681.8790434231623,285.3776900167326
45,17.997751685838473,2.3459052582943483,1665.8320501737164,303.28173517534896
46,17.56507170412807,2.2003218221106384,1613.3875540565743,238.41261860200063
47,17.221461396753305,2.1661719692623502,1610.5589900324485,300.798265247199
48,16.920638267938422,1.8962116862324336,1584.472476528627,252.79584336309736
49,16.87505478900449,1.7907665034403601,1601.6237360518583,290.78840806113175
50,16.816665263081582,1.8127239681374872,1586.4347324269584,237.9008490550383
51,16.717302985094197,1.623397192344458,1590.138750900944,273.85754795956586
52,16.71889361300928,2.001969720895237,1563.4030948403506,215.04221643384233
53,16.61049152509074,1.6729776065490145,1563.338633293272,266.93698274519414
