outer,start_objective,c,k,beta,post_objective,delta,improves,accepted
20,109.57278813537108,2,300,0.5,107.9379156604909,-1.6348724748801828,True,True
21,107.9379156604909,2,100,0.05,107.9342760837199,-0.003639576771007569,True,True
22,107.9342760837199,5,300,0.02,108.0475779024031,0.11330181868321176,False,False
