outer,nonlinear_objective,gap_to_direct_optimum,xy_rel_to_direct
0,107.91906057412336,8.733991307963151e-11,0.0
1,77756.96004023709,77649.04097966306,0.010774053234286938
2,1611.936320434922,1504.017259860886,0.007228513109524909
3,2709.2145333620188,2601.295472787983,0.004673476735461104
4,12995.60188020817,12887.682819634134,0.06046634786429108
5,141.4577757101743,33.53871513613828,0.033238626834981536
6,2834.7213390401066,2726.8022784660707,0.018761903942130616
7,1652.1979033880675,1544.2788428140316,0.012478323685200568
8,897.5430285322549,789.6239679582188,0.009870217265724334
9,124.81819889338682,16.899138319350797,0.0018733066233025046
10,306.1484679352656,198.2294073612296,0.0031070317910750728
