outer,carry_message_eta,carry_message_lam,carry_coarse_state,settle_sweeps,coarse_settle_sweeps,freeze_basis_from_outer0,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,xy_rel_to_direct,inner_cycles,pre_sweeps,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim
0,False,True,False,0,0,False,602585.0441299444,87.92730695372335,100.07173463021118,0.3696037132425942,0.3113167694933635,,,,,,,,,,,
1,False,True,False,0,0,False,105553.4753630114,87.1440611913567,115.62366716737664,0.4911069125541413,0.22908052012903674,5,50,2850.971389652588,2874.4924961620245,0.7539014356564719,6.462553397134563e-11,123.31185824895144,78.76179847760388,21217.284533634156,25,100
2,False,True,False,0,0,False,729.7767134138313,81.17494272556503,106.68598111900651,0.46893683113626833,0.2021261080969658,5,50,424.57444038125425,1662.9185281852174,0.8690250650965956,1.8527088750999422e-11,104.72205613388557,49.646494330676674,-2746.291622948542,25,100
3,False,True,False,0,0,False,627.5780076830385,80.59764500178467,105.48150895458636,0.4587443086529752,0.19828707551393357,5,50,60.285295041125615,1731.0983790344249,0.9818678574961456,2.307496137661158e-11,22.494345363097572,57.67121386466096,-1.2707304456874908,25,100
4,False,True,False,0,0,False,621.1810190467244,80.39030676214071,104.83109477748634,0.450986760893078,0.1958131281220483,5,50,42.55848374940009,1698.5969477920585,0.9873679188465879,1.9662558016169885e-11,6.412457608496442,57.235952393406734,19.318113443686798,25,100
5,False,True,False,0,0,False,616.6690178667125,80.15381857074242,103.99722972563715,0.44368501596293813,0.19286245345229172,5,50,40.01522802883763,1675.8055562321806,0.9849329264527851,2.2973472950836085e-11,5.1211442929000475,56.65433069208896,16.691154436890884,25,100
6,False,True,False,0,0,False,613.0749955522515,79.86775506019161,103.01022982308596,0.4370158590588963,0.18952338050170492,5,50,39.96439984271928,1649.3166542253982,0.9828529437762519,1.820989019334991e-11,4.72166142048818,56.05426281513127,14.176336514459763,25,100
7,False,True,False,0,0,False,610.1906233527923,79.55684476638928,101.96470917591598,0.4310229608404015,0.1860631038819899,5,50,39.460395355015336,1620.181901152484,0.9820100071528931,1.688650441888827e-11,4.383544914052293,55.477867920019094,12.138369863404705,25,100
8,False,True,False,0,0,False,607.8750830199275,79.24313559820905,100.93032789545275,0.4256959992436698,0.18267951588198084,5,50,37.90687591678016,1590.5660154686177,0.9821395123284736,1.7329177742042366e-11,4.0660367818160825,54.94290870671432,10.523469753206996,25,100
9,False,True,False,0,0,False,606.0177488374113,78.93984264731789,99.94626229234726,0.42099255248157674,0.1794827372843847,5,50,35.60331006190034,1562.1912936467493,0.9828566627208599,1.6892931651091807e-11,3.7788585522159863,54.4570422716153,9.24978439292795,25,100
10,False,True,False,0,0,False,604.5292511283925,78.65362704361553,99.03082244095735,0.41685536756230734,0.17652203767531593,5,50,32.93216013452075,1535.649532071716,0.9838746837249188,1.613909430458005e-11,3.525569329157177,54.016833962160064,8.23911080945868,25,100
11,False,True,False,0,0,False,603.3370704405785,78.3871417043392,98.19008467085338,0.41322292225385954,0.17381093583810583,5,50,30.164773837593184,1511.3486613517878,0.9850159678545793,1.696661928005033e-11,3.305004462606073,53.61990873789436,7.434816336775384,25,100
12,False,True,False,0,0,False,602.3824324360344,78.14055296216281,97.42360466581052,0.4100353213757097,0.1713440465905927,5,50,27.459169409443998,1489.37548711762,0.9861787109304899,1.5013826018150776e-11,3.1147766844660048,53.26230359785417,6.792850266558389,25,100
13,False,True,False,0,0,False,601.6178217971666,77.91277138550171,96.72766115005155,0.4072370710355632,0.1691066938707802,5,50,24.899180261387468,1469.5129642283416,0.987305932170317,1.6792750852453435e-11,2.9518758512841314,52.93764199044358,6.277608085050474,25,100
14,False,True,False,0,0,False,601.0049323032916,77.70233420337406,96.09701090625677,0.4047781235169634,0.1670801225324969,5,50,22.52528229440983,1451.6848263336044,0.9883683409103919,1.5938766559416536e-11,2.8132037266174352,52.643011390881,5.863063018545972,25,100
15,False,True,False,0,0,False,600.512969503799,77.50772147248318,95.52593020658995,0.4026141339257911,0.16524457136669227,5,50,20.35047380415556,1435.6256628896572,0.9893524241941745,1.6409563023882347e-11,2.695974869426079,52.37311299662011,5.527754748831626,25,100
16,False,True,False,0,0,False,600.1172405070334,77.32744880420248,95.00872884590034,0.4007062162989263,0.16358077210220964,5,50,18.37356736065309,1421.1458318365897,0.9902542200635569,1.6243942470622892e-11,2.597595521808598,52.12435280340709,5.25536670901829,25,100
17,False,True,False,0,0,False,599.7979884766271,77.16009523994623,94.53995599198548,0.3990204513937989,0.16207052370115096,5,50,16.58748416831908,1408.1006867110968,0.9910741219151866,1.589531195290559e-11,2.5153867552540166,51.894458409181766,5.033072014221148,25,100
18,False,True,False,0,0,False,599.5394425660181,77.00435158618866,94.1145733340572,0.39752740674363535,0.16069716886964872,5,50,14.979771808412988,1396.2721577336674,0.9918158090315548,1.457133019837604e-11,2.4472590007804382,51.67972328924288,4.850481832699302,25,100
19,False,True,False,0,0,False,599.329032894704,76.85900617238053,93.72794107279861,0.3962015736740098,0.1594455101035444,5,50,13.538210883129201,1385.5135235273892,0.992483676462351,1.542405895806267e-11,2.390777631324225,51.47800506500363,4.699532729407224,25,100
20,False,True,False,0,0,False,599.1567630546652,76.72296605559731,93.37587320302602,0.3950208954659794,0.15830194031027509,5,50,12.248485859185994,1375.7807617078013,0.9930839920268895,1.4502751073493781e-11,2.344413260116849,51.28915797340357,4.574249836114291,25,100
