outer,mode,selected_c,selected_k,selected_beta,nonlinear_objective,x_rel_to_direct,gap_to_direct_optimum,objective_improvement,x_rel_improvement,kick_e_rel_to_exact,phase
21,kick,5.0,200.0,1.0,108.4593850056221,0.0036046274857293114,0.5403244315860718,0.006529859108638902,0.0021724671624222566,0.624332031570749,
22,formal_v4,5.0,200.0,0.002,108.01790037173086,0.0015181591116854407,0.0988397976948363,0.4414846338912355,0.0020864683740438707,,objective_low
23,kick,4.0,200.0,1.0,110.62267309836196,0.0005256435116451126,2.7036125243259335,-2.604772726631097,0.000992515600040328,0.3450098559041584,
24,formal_v4,4.0,200.0,0.2,108.04009587206403,0.0005253657839079563,0.12103529802800495,2.5825772262979285,2.7772773715625983e-07,,objective_low
25,formal_v4,5.0,200.0,0.05,107.97227782069085,0.00041941314420812487,0.053217246654824635,0.06781805137318031,0.00010595263969983144,,objective_low
26,formal_v4,4.0,200.0,0.002,107.96988155387417,0.0004136300675651962,0.05082097983815004,0.002396266816674597,5.783076642928693e-06,,objective_low
27,no_accept,,,,107.96988155387417,0.0004136300675651962,0.05082097983815004,,,,
