c,k,beta,post_objective,delta,improves
4,300,0.7,127.5156405095064,19.577724849015496,False
3,150,0.5,129.2906171379289,21.352701477438004,False
5,200,0.7,132.59530588824757,24.657390227756665,False
3,200,0.8,133.10843782425,25.170522163759088,False
4,300,0.8,133.4425761945144,25.5046605340235,False
4,200,0.5,136.274709662606,28.3367940021151,False
4,50,0.02,136.40811525814578,28.470199597654883,False
1,150,0.05,136.64390944273282,28.70599378224192,False
3,50,0.02,138.53547746500738,30.597561804516474,False
4,150,0.5,139.26642449919788,31.32850883870698,False
3,200,0.9,139.67631239912265,31.73839673863175,False
5,200,0.8,139.87965738691108,31.941741726420176,False
4,300,0.9,140.1304654048023,32.19254974431139,False
5,100,0.1,141.67800773012812,33.740092069637214,False
5,150,0.3,143.19160668424274,35.25369102375184,False
3,200,0.95,143.2353525620527,35.297436901561795,False
4,300,0.95,143.75753622658814,35.81962056609724,False
3,200,1.0,146.97640075589436,39.03848509540346,False
4,300,1.0,147.57217052590426,39.634254865413354,False
5,200,0.9,148.03354100728714,40.09562534679624,False
3,150,0.7,149.6664383476142,41.72852268712329,False
5,200,0.95,152.42931636380774,44.49140070331684,False
1,200,0.1,154.41361066641247,46.475695005921565,False
1,100,0.02,154.6111603040563,46.67324464356541,False
1,300,0.2,156.81940268595048,48.88148702545958,False
5,200,1.0,157.03381047080552,49.09589481031462,False
3,150,0.8,162.364857027538,54.42694136704709,False
4,200,0.7,163.3514849753219,55.41356931483101,False
4,150,0.7,169.24675496751544,61.30883930702454,False
3,150,0.9,176.72847419847528,68.79055853798438,False
4,200,0.8,180.22278736213246,72.28487170164156,False
3,100,0.2,184.10179567389494,76.16388001340404,False
4,100,0.2,184.20437055136347,76.26645489087257,False
3,150,0.95,184.53274963736683,76.59483397687593,False
5,50,0.02,186.5335865986397,78.59567093814879,False
4,150,0.8,187.94052285971603,80.00260719922512,False
3,150,1.0,192.75094682663988,84.81303116614897,False
4,200,0.9,199.3026118845584,91.36469622406749,False
5,150,0.5,205.31069937815766,97.37278371766676,False
4,150,0.9,209.09156561273633,101.15364995224543,False
4,200,0.95,209.6675791072431,101.72966344675221,False
1,300,0.3,218.0331553592053,110.0952396987144,False
4,200,1.0,220.58090953598204,112.64299387549114,False
4,150,0.95,220.58580378120524,112.64788812071434,False
1,150,0.1,222.70380788651067,114.76589222601977,False
4,150,1.0,232.69104814524786,124.75313248475696,False
5,100,0.2,242.6936171635097,134.75570150301883,False
3,100,0.3,279.28251158914617,171.34459592865528,False
4,100,0.3,279.5542054330431,171.6162897725522,False
4,50,0.05,286.08172767898515,178.14381201849426,False
1,200,0.2,293.94961206873955,186.01169640824867,False
5,150,0.7,297.76765706779275,189.82974140730187,False
3,50,0.05,299.15743123653624,191.21951557604535,False
5,150,0.8,355.22485189567345,247.28693623518257,False
1,100,0.05,399.5905647720418,291.6526491115509,False
5,100,0.3,410.8416055590273,302.9036898985364,False
1,300,0.5,414.45486731758393,306.51695165709305,False
5,150,0.9,420.0892510714792,312.15133541098834,False
5,150,0.95,455.28078488208354,347.34286922159265,False
5,150,1.0,492.3020987527162,384.3641830922253,False
1,200,0.3,526.8285416812575,418.89062602076666,False
1,150,0.2,567.0236673202554,459.0857516597645,False
3,100,0.5,583.9259700357678,475.98805437527693,False
4,100,0.5,584.5042385037978,476.56632284330686,False
5,50,0.05,598.9846464257859,491.04673076529497,False
2,50,0.02,662.3700255106693,554.4321098501783,False
1,300,0.7,710.1344002457818,602.1964845852908,False
4,50,0.1,820.7975234986322,712.8596078381413,False
3,50,0.1,873.3713153530315,765.4333996925405,False
1,300,0.8,895.4208450417982,787.4829293813073,False
5,100,0.5,947.9627083394155,840.0247926789245,False
3,100,0.7,1041.0580591979049,933.1201435374139,False
4,100,0.7,1041.5439680212992,933.6060523608082,False
1,300,0.9,1105.7919613941563,997.8540457336653,False
1,150,0.3,1141.1743021583559,1033.236386497865,False
1,300,0.95,1220.4124868007173,1112.4745711402263,False
1,200,0.5,1273.7472207707162,1165.8093051102253,False
1,100,0.1,1274.3101102884414,1166.3721946279504,False
3,100,0.8,1326.8495513082282,1218.9116356477373,False
4,100,0.8,1327.0058210837801,1219.0679054232892,False
1,300,1.0,1341.3380523782025,1233.4001367177116,False
4,100,0.9,1650.380066344046,1542.4421506835552,False
3,100,0.9,1650.8138477674474,1542.8759321069565,False
5,100,0.7,1751.8983800064693,1643.9604643459784,False
4,100,0.95,1826.2728577407772,1718.3349420802863,False
3,100,0.95,1827.1160713437764,1719.1781556832855,False
4,100,1.0,2011.629969821899,1903.6920541614081,False
3,100,1.0,2012.9678240059159,1905.029908345425,False
5,50,0.1,2072.4547661829115,1964.5168505224206,False
5,100,0.8,2253.56498698706,2145.627071326569,False
1,200,0.7,2397.436813932884,2289.498898272393,False
5,100,0.9,2821.5074230925943,2713.5695074321034,False
4,50,0.2,2960.0254017382567,2852.087486077766,False
1,150,0.5,2980.076020978602,2872.1381053181112,False
1,200,0.8,3101.2805468632932,2993.3426312028023,False
5,100,0.95,3130.287579708544,3022.349664048053,False
3,50,0.2,3175.1026415990796,3067.1647259385886,False
5,100,1.0,3455.5833104070225,3347.6453947465316,False
2,50,0.05,3572.2253792136958,3464.287463553205,False
1,200,0.9,3900.169439585053,3792.231523924562,False
1,200,0.95,4335.34480518968,4227.406889529189,False
1,100,0.2,4771.71342803559,4663.775512375099,False
1,200,1.0,4794.388280611869,4686.450364951378,False
1,150,0.7,5741.626990041467,5633.689074380976,False
4,50,0.3,6525.777449474886,6417.8395338143955,False
3,50,0.3,7021.78102077928,6913.843105118789,False
1,150,0.8,7469.089854860993,7361.151939200502,False
5,50,0.2,7970.9014255838965,7862.963509923406,False
1,150,0.9,9428.048082060268,9320.110166399778,False
1,150,0.95,10494.424841731801,10386.486926071311,False
1,100,0.3,10597.675635751857,10489.737720091367,False
1,150,1.0,11618.779726321312,11510.841810660822,False
2,50,0.1,13961.707159788462,13853.769244127972,False
5,50,0.3,17811.749475221444,17703.811559560952,False
4,50,0.5,17937.439474782805,17829.501559122313,False
3,50,0.5,19384.641028466736,19276.703112806244,False
1,100,0.5,29225.39334211475,29117.455426454257,False
4,50,0.7,35056.878080281655,34948.94016462116,False
3,50,0.7,38031.40610829598,37923.46819263549,False
1,50,0.02,39997.50841243423,39889.57049677374,False
4,50,0.8,45757.3222131698,45649.38429750931,False
5,50,0.5,49354.528523991255,49246.590608330764,False
3,50,0.8,49733.01457967589,49625.076664015396,False
2,50,0.2,55500.01993437964,55392.08201871915,False
1,100,0.7,57137.70758146491,57029.769665804415,False
4,50,0.9,57885.06554932728,57777.12763366679,False
3,50,0.9,63031.73903817525,62923.80112251476,False
4,50,0.95,64484.20672912577,64376.26881346528,False
3,50,0.95,70282.75055134318,70174.8126356827,False
4,50,1.0,71440.21052708305,71332.27261142257,False
1,100,0.8,74569.41962097799,74461.4817053175,False
3,50,1.0,77936.31961310758,77828.3816974471,False
1,100,0.9,94314.88047705367,94206.94256139318,False
5,50,0.7,96768.53391441146,96660.59599875097,False
1,100,0.95,105054.49652410514,104946.55860844465,False
1,100,1.0,116371.62569476136,116263.68777910087,False
2,50,0.3,124690.37719863771,124582.43928297723,False
5,50,0.8,126448.40888207183,126340.47096641135,False
5,50,0.9,160121.48201213605,160013.54409647555,False
5,50,0.95,178458.11181939463,178350.17390373413,False
5,50,1.0,197796.21366905828,197688.2757533978,False
1,50,0.05,249332.89401997687,249224.95610431637,False
2,50,0.5,345896.9775482823,345789.0396326218,False
2,50,0.7,677320.5131694335,677212.575253773,False
2,50,0.8,884281.8533274472,884173.9154117868,False
1,50,0.1,996521.8940302014,996413.9561145409,False
2,50,0.9,1118699.1945878323,1118591.2566721719,False
2,50,0.95,1246193.6029735014,1246085.665057841,False
2,50,1.0,1380539.690344409,1380431.7524287486,False
1,50,0.2,3982131.664195061,3982023.7262794008,False
1,50,0.3,8952015.626323173,8951907.688407512,False
1,50,0.5,24828429.238500856,24828321.300585195,False
1,50,0.7,48601451.513131276,48601343.575215615,False
1,50,0.8,63445513.5958099,63445405.65789424,False
1,50,0.9,80261361.14748402,80261253.20956835,False
1,50,0.95,89409121.96478662,89409014.02687095,False
1,50,1.0,99050482.26517282,99050374.32725716,False
