outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,coarse_damping,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,,
1,981232273.1047337,2,100,message_conditioned_information,1.0,480.99185034218,699.3488142897845,0.6108125761251499,0.001431575703154367,4009241685.8645372,8.554192663908278,79078951.05086195,61,244,902153322.0538718
2,129530001.52188867,2,100,message_conditioned_information,1.0,199.08794269373183,356.0973693937211,0.5789764155739757,9.8199693614369e-05,1121185571.227092,4.769578636119527,-1263465449.0727654,61,244,1392995450.594654
3,517315.81603946764,2,100,message_conditioned_information,1.0,13.606083163155674,173.43582220761132,0.9763413584205914,0.00017112868463152464,2368186138.4149146,4.318171467802052,-5439401.111579636,61,244,5956716.927619103
4,3011.7767155044144,2,100,message_conditioned_information,1.0,22.219132966651664,169.02525527353478,0.8769478203464157,9.816050370873276e-05,274964983.2259827,3.7841680395812403,-194647.98837522048,61,244,197659.7650907249
5,2030.403433760469,2,100,message_conditioned_information,1.0,22.28139900565776,148.7379363634949,0.8504073062891111,0.00010751508891882008,137831182.92837065,3.2267320916335698,-20284.393593086348,61,244,22314.797026846816
6,4934.336164513685,2,100,message_conditioned_information,1.0,17.72779080800103,126.57581953776477,0.8601350380945746,0.00010796480354555205,222849302.84026814,2.7774642231487463,-8954.375999908516,61,244,13888.7121644222
7,584.4568909346754,2,100,message_conditioned_information,1.0,14.412805924829803,108.898381622208,0.8679025489308854,4.7746729333780184e-05,60037993.89423333,2.408504237997447,-7666.530448832517,61,244,8250.987339767193
8,3799.213392713726,2,100,message_conditioned_information,1.0,17.489770938642078,94.37349485200951,0.8148060139869182,4.358115294602884e-05,200328638.02298024,1.9607746838198163,519.9858954320412,61,244,3279.227497281685
9,213.15979743648825,2,100,message_conditioned_information,1.0,14.984984245005426,76.8998968766981,0.8054262186749237,4.778199898731114e-05,20080050.55344131,1.5766603687943466,-1983.616632458095,61,244,2196.776429894583
10,1478.4652961387787,2,100,message_conditioned_information,1.0,11.334918538374314,61.78661550443416,0.8176142506446747,3.805226082501415e-05,125199836.03961386,1.2886086130365477,930.6808368777239,61,244,547.7844592610548
11,3609.8748060020566,2,100,message_conditioned_information,1.0,8.416090148890305,50.57866615732863,1.1366263249736832,3.776728785769305e-05,186846064.95586273,1.4693762380814692,3055.844271695713,61,244,554.0305343063438
12,18175.79805953299,2,100,message_conditioned_information,1.0,17.22994436284622,57.70819447322493,0.7123978431166323,8.124061424884797e-05,414955282.6194542,1.0446953294214143,16117.009820671616,61,244,2058.788238861374
13,6341.379746067582,2,100,message_conditioned_information,1.0,10.895236253427669,40.90727676941776,0.735993857846358,3.7644883827576224e-05,262486484.20114762,0.7680796272669588,6140.413844205088,61,244,200.96590186249398
14,2562.8676925911514,2,100,message_conditioned_information,1.0,2.763416084481496,30.089815200653085,0.9118444080999281,1.034536100680572e-05,161709268.41827852,0.7001342271042499,2377.4721661546855,61,244,185.39552643646587
15,861.2004195658067,2,100,message_conditioned_information,1.0,5.469845847984933,27.406608880895227,0.8007969933817779,2.73969113525022e-05,91980642.53236048,0.5598941594489877,733.6974029839159,61,244,127.5030165818907
16,306.63141997829837,2,100,message_conditioned_information,1.0,4.004139216875349,21.931345409289246,0.8185667741651449,3.208127699312307e-05,44938530.233382374,0.4579638515546555,172.63390551261625,61,244,133.99751446568212
17,114.37363762961262,2,100,message_conditioned_information,1.0,3.0751585653187186,17.93644174865506,0.829370111034429,1.8134389951162594e-05,8033503.087159778,0.3807191917949478,0.6176389764416825,61,244,113.75599865317093
18,115.95713180060088,2,100,message_conditioned_information,1.0,2.364064591605782,14.874134113690538,0.8434620165892915,1.4146812825586913e-05,6403133.7554431865,0.321395001981051,-2.2482959215744387,61,244,118.20542772217532
19,350.0872058738584,2,100,message_conditioned_information,1.0,2.0350350734064033,12.547198155366457,0.8587525910415008,1.4774392293772316e-05,50643099.92342105,0.27560579363780874,232.03545476030712,61,244,118.05175111355128
20,256.25215621593634,2,100,message_conditioned_information,1.0,0.41272959126750863,10.776250478770155,0.970506781100709,3.652626189184444e-06,40054191.777572066,0.2666133384461939,145.16064961006057,61,244,111.09150660587576
